"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.107190600E-2,-4.549500346E-1,2.284050226E0,-1.708950043E0,2.888663223E0
4.303370100E-2,-8.380500674E-1,2.245950222E0,-1.708950043E0,2.943999077E0
4.499798300E-2,-1.106999993E0,2.208000183E0,-1.594050050E0,2.939678444E0
4.696103400E-2,-1.336950064E0,2.208000183E0,-1.326000094E0,2.901891888E0
4.892444500E-2,-1.528050065E0,2.284050226E0,-1.096050024E0,2.958571968E0
5.088781100E-2,-1.642950058E0,2.398950100E0,-8.269500136E-1,3.022927852E0
5.285120000E-2,-1.795950055E0,2.514000177E0,-4.440000355E-1,3.121340982E0
5.481354700E-2,-1.911000133E0,2.706000090E0,-2.205000073E-2,3.312830239E0
5.677620000E-2,-1.987950087E0,2.896950245E0,6.660000086E-1,3.576006471E0
5.873952800E-2,-1.987950087E0,3.127050161E0,1.471050024E0,3.986775192E0
6.070265900E-2,-1.987950087E0,3.280950069E0,2.238000154E0,4.441308771E0
6.266556600E-2,-2.065050125E0,3.549000263E0,3.349050045E0,5.298676353E0
6.462852600E-2,-2.103000164E0,3.856050253E0,4.690950394E0,6.426254651E0
6.659180200E-2,-2.218050003E0,4.239000320E0,6.147000313E0,7.789382670E0
6.855498600E-2,-2.332950115E0,4.699050426E0,7.756950378E0,9.364508013E0
7.051804600E-2,-2.485950232E0,5.158950329E0,9.136950493E0,1.078325467E1
7.248114200E-2,-2.563050032E0,5.695050240E0,1.021005058E1,1.196862380E1
7.444432600E-2,-2.640000105E0,6.193950176E0,1.078500080E1,1.271419921E1
7.640750100E-2,-2.524950027E0,6.768000126E0,1.093800068E1,1.310805314E1
7.837060700E-2,-2.332950115E0,7.420050144E0,1.051695061E1,1.308075114E1
8.033373300E-2,-2.103000164E0,8.187000275E0,9.712050438E0,1.287530609E1
8.229729600E-2,-1.950000048E0,8.914950371E0,8.485050201E0,1.246093565E1
8.426073100E-2,-1.834950089E0,9.720000267E0,6.837000370E0,1.202455908E1
8.622392300E-2,-1.758000135E0,1.067805004E1,4.806000233E0,1.184098625E1
8.818719000E-2,-1.489950061E0,1.182795048E1,2.391000032E0,1.215883402E1
9.015131500E-2,-1.720050097E0,1.328400040E1,-2.520000041E-1,1.339726625E1
9.211518800E-2,-2.179949999E0,1.500900078E1,-2.551950216E0,1.537968583E1
9.407830900E-2,-2.410050154E0,1.677195168E1,-4.353000164E0,1.749443669E1
9.604165100E-2,-2.371050119E0,1.864995003E1,-5.848050117E0,1.968863136E1
9.800499800E-2,-2.485950232E0,2.049000168E1,-6.652950287E0,2.168598314E1
9.996837500E-2,-2.448000193E0,2.240595055E1,-6.960000515E0,2.358942416E1
1.019314010E-1,-1.987950087E0,2.436105156E1,-6.768000126E0,2.536175476E1
1.038945300E-1,-1.489950061E0,2.639205170E1,-6.460950375E0,2.721220726E1
1.058577770E-1,-6.469500065E-1,2.830905151E1,-6.001950264E0,2.894554109E1
1.078209900E-1,1.570500135E-1,2.988000107E1,-5.542050362E0,3.039002222E1
1.097851650E-1,1.192050099E0,3.129795074E1,-5.082000256E0,3.173026049E1
1.117490620E-1,2.227050066E0,3.244800186E1,-4.582950115E0,3.284563911E1
1.137121800E-1,3.645000219E0,3.310005188E1,-4.582950115E0,3.361402821E1
1.156755260E-1,4.756950378E0,3.382800293E1,-4.852050304E0,3.450369185E1
1.176389160E-1,4.603050232E0,3.482400131E1,-5.272950172E0,3.552046090E1
