"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.597734900E-2,1.537050128E0,9.988050461E0,-2.475000143E0,1.040429242E1
3.793727300E-2,6.169500351E-1,9.220950127E0,-2.590050220E0,9.597651209E0
3.990011800E-2,-1.480500102E-1,8.455050468E0,-2.398950100E0,8.790037475E0
4.186183800E-2,4.200000316E-2,7.842000484E0,-2.322000027E0,8.178656352E0
4.382388700E-2,1.570500135E-1,7.342950344E0,-2.359950066E0,7.714463609E0
4.578604800E-2,-1.099500060E-1,6.922050476E0,-2.169000149E0,7.254752473E0
4.774818300E-2,-7.999500632E-1,6.270000458E0,-1.632000089E0,6.528112295E0
4.971016100E-2,-1.375050068E0,5.580000401E0,-1.402050018E0,5.915480658E0
5.167218500E-2,-1.758000135E0,4.929000378E0,-1.249050021E0,5.380124084E0
5.363395500E-2,-2.140950203E0,4.315950394E0,-9.040500522E-1,4.901877402E0
5.559580000E-2,-2.256000042E0,3.664050102E0,-5.590500236E-1,4.339047853E0
5.755661900E-2,-2.371050119E0,3.088950157E0,-6.105000153E-2,3.894511374E0
5.951773200E-2,-2.677950144E0,2.551950216E0,3.600000143E-1,3.716647265E0
6.147947800E-2,-2.908050060E0,2.053950071E0,7.429500222E-1,3.636954878E0
6.344103800E-2,-3.175950050E0,1.555950046E0,1.011000037E0,3.678282254E0
6.540311400E-2,-3.406050205E0,1.057950020E0,1.126049995E0,3.740110271E0
6.736503800E-2,-3.598050117E0,5.590500236E-1,1.087950110E0,3.800281176E0
6.932778200E-2,-3.712950230E0,-1.500000060E-2,9.730500579E-1,3.838365645E0
7.129027900E-2,-3.751050234E0,-3.979500234E-1,8.959500194E-1,3.877043786E0
7.325183400E-2,-3.904950142E0,-8.959500194E-1,7.050000429E-1,4.067970883E0
7.521366500E-2,-3.981000185E0,-1.471050024E0,5.899500251E-1,4.284902762E0
7.717645900E-2,-3.904950142E0,-2.008050203E0,4.360500276E-1,4.412600238E0
7.913897100E-2,-3.828000069E0,-2.544000149E0,2.070000172E-1,4.600909724E0
