"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.332225300E-2,2.227050066E0,-2.059500068E-1,7.050000429E-1,2.345035706E0
3.528497900E-2,2.419050217E0,-1.290000081E-1,8.200500607E-1,2.557523618E0
3.725025400E-2,2.649000168E0,-9.105000645E-2,8.200500607E-1,2.774522318E0
3.921349400E-2,2.917050123E0,-1.500000060E-2,8.580000401E-1,3.040652971E0
4.117733000E-2,3.184950113E0,9.900000691E-2,8.580000401E-1,3.299980651E0
4.314119100E-2,3.376950264E0,2.140500098E-1,8.959500194E-1,3.500333831E0
4.510503500E-2,3.645000219E0,2.910000086E-1,1.087950110E0,3.815015471E0
4.706924200E-2,3.837000132E0,4.440000355E-1,1.165050030E0,4.034482323E0
4.903334200E-2,4.143000126E0,5.980500579E-1,1.279950023E0,4.377257815E0
5.099732600E-2,4.411950111E0,8.280000687E-1,1.165050030E0,4.637696570E0
5.296134400E-2,4.642050266E0,9.810000658E-1,1.050000072E0,4.859371560E0
5.492531700E-2,4.909950256E0,1.096050024E0,8.959500194E-1,5.109957300E0
5.688932000E-2,5.254950047E0,1.326000094E0,8.959500194E-1,5.493223341E0
5.885309400E-2,5.370000362E0,1.708950043E0,1.087950110E0,5.739429378E0
6.081693600E-2,5.560950279E0,2.016000032E0,1.624950051E0,6.134238894E0
6.278082700E-2,5.523000240E0,2.398950100E0,2.583000183E0,6.552128141E0
6.474470300E-2,5.560950279E0,2.859000206E0,3.771000147E0,7.301951266E0
6.670836500E-2,5.331000328E0,3.319050074E0,4.959000111E0,8.001708567E0
6.867209000E-2,5.062950134E0,3.817050219E0,6.109050274E0,8.804761875E0
7.063613600E-2,4.756950378E0,4.392000198E0,6.913950443E0,9.472114515E0
7.260008800E-2,4.335000038E0,4.890000343E0,7.564950466E0,9.996639648E0
7.456409600E-2,3.990000248E0,5.427000046E0,7.909950256E0,1.038940540E1
7.652808800E-2,3.568050146E0,6.117000103E0,7.909950256E0,1.061677847E1
7.849166500E-2,3.147000074E0,6.844950199E0,7.603950500E0,1.070406539E1
8.045537700E-2,2.686950207E0,7.612050533E0,6.913950443E0,1.062853355E1
8.241906600E-2,2.341950178E0,8.493000031E0,5.878950119E0,1.059140381E1
8.438276200E-2,2.074050188E0,9.183000565E0,4.000950336E0,1.022921244E1
8.634663300E-2,2.035050154E0,9.835050583E0,1.893000126E0,1.022022987E1
8.831045200E-2,2.111999989E0,1.037100029E1,6.660000086E-1,1.060479830E1
9.027482000E-2,1.804950118E0,1.094595051E1,-3.670500219E-1,1.109983798E1
9.223904400E-2,1.114950061E0,1.186605072E1,-1.363950014E0,1.199610908E1
9.420192500E-2,8.100000024E-2,1.316895103E1,-2.322000027E0,1.337234147E1
9.616520000E-2,-1.260000110E0,1.462605095E1,-3.280050039E0,1.504219714E1
9.812918800E-2,-2.793000221E0,1.646505165E1,-3.625050068E0,1.708917096E1
1.000929670E-1,-4.210950375E0,1.853505135E1,-3.394950151E0,1.930818267E1
1.020566070E-1,-5.782950401E0,2.095005035E1,-3.127050161E0,2.195735794E1
1.040203150E-1,-7.354050159E0,2.397795105E1,-2.551950216E0,2.520985205E1
1.059843190E-1,-8.848950386E0,2.731200218E1,-2.092050076E0,2.878586562E1
1.079482360E-1,-9.999000549E0,3.072300148E1,-1.824000120E0,3.236062126E1
1.099121160E-1,-1.091805077E1,3.436395264E1,-1.708950043E0,3.609716864E1
1.118760070E-1,-1.187700081E1,3.827400208E1,-1.555950046E0,4.010465514E1
1.138398400E-1,-1.287300014E1,4.225995255E1,-1.708950043E0,4.421015983E1
1.158036940E-1,-1.341000080E1,4.628400040E1,-2.130000114E0,4.823456971E1
1.177675390E-1,-1.341000080E1,4.988700104E1,-2.398950100E0,5.171359546E1
1.197313860E-1,-1.341000080E1,5.318295288E1,-3.165000200E0,5.493880072E1
1.216950070E-1,-1.283505058E1,5.509995270E1,-3.894000292E0,5.670896357E1
1.236586940E-1,-1.191495037E1,5.598105240E1,-4.237950325E0,5.739167616E1
1.256224170E-1,-1.076505089E1,5.594295120E1,-4.507050037E0,5.714729749E1
1.275861400E-1,-9.232050896E0,5.517600250E1,-4.660050392E0,5.613678015E1
1.295501430E-1,-7.468950272E0,5.391105270E1,-4.468050003E0,5.460906786E1
1.315140630E-1,-5.514000416E0,5.145795059E1,-4.353000164E0,5.193528175E1
1.334778970E-1,-3.865950108E0,4.816200256E1,-4.162050247E0,4.849584233E1
1.354417570E-1,-3.100050211E0,4.432995224E1,-4.162050247E0,4.463269697E1
1.374055810E-1,-2.869950056E0,4.076505280E1,-4.660050392E0,4.113079397E1
1.393694290E-1,-2.830950022E0,3.766095352E1,-5.197050095E0,3.812310360E1
