"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.001001200E-2,8.896050453E0,-6.271800232E1,-2.796300125E1,6.924317271E1
4.197210600E-2,7.708050251E0,-6.467295074E1,-2.658300209E1,7.034671703E1
4.393678100E-2,6.328050137E0,-6.651300049E1,-2.455200195E1,7.118162862E1
4.589999000E-2,5.140050411E0,-6.793095398E1,-2.156295013E1,7.145624847E1
4.786362800E-2,3.952050209E0,-6.770100403E1,-1.719300079E1,6.996173185E1
4.982677800E-2,2.494950056E0,-6.770100403E1,-1.240200043E1,6.887278372E1
5.179007900E-2,2.111999989E0,-6.731805420E1,-6.844950199E0,6.769811156E1
5.375271200E-2,4.258049965E0,-6.704895020E1,-2.245050192E0,6.722152157E1
5.571554100E-2,5.062950134E0,-6.624494934E1,2.583000183E0,6.648833482E1
5.767902000E-2,4.527000427E0,-6.413700104E1,7.258950233E0,6.470503067E1
5.964230800E-2,3.184950113E0,-6.195195389E1,8.217000008E0,6.257561495E1
6.160495500E-2,1.614000082E0,-5.992095184E1,7.374000549E0,6.039454735E1
6.356781400E-2,-9.150000215E-1,-5.624100113E1,5.151000023E0,5.648380506E1
6.553128800E-2,-4.747950077E0,-5.133495331E1,3.234000206E0,5.165538905E1
6.749458200E-2,-8.427000046E0,-4.658295059E1,2.736000061E0,4.741804838E1
6.945802700E-2,-9.999000549E0,-4.198305130E1,1.969950080E0,4.320228364E1
7.142142800E-2,-9.999000549E0,-3.761400223E1,1.240950108E0,3.894012240E1
7.338603900E-2,-8.925000191E0,-3.393405151E1,4.360500276E-1,3.509081960E1
7.535031800E-2,-6.817050457E0,-3.067695236E1,1.500000060E-2,3.142527340E1
7.731264900E-2,-4.978050232E0,-2.776395226E1,5.899500251E-1,2.821287064E1
7.927555100E-2,-3.559950113E0,-2.527200127E1,1.395000100E0,2.555960325E1
8.123919800E-2,-2.256000042E0,-2.324100113E1,2.238000154E0,2.345724439E1
8.320262600E-2,-1.567050099E0,-2.132505035E1,3.081000090E0,2.160337891E1
8.516615500E-2,-1.758000135E0,-1.952295113E1,4.000950336E0,2.000609379E1
8.712967400E-2,-2.524950027E0,-1.787505150E1,4.614000320E0,1.863281615E1
8.909335100E-2,-3.828000069E0,-1.611194992E1,4.768050194E0,1.723318942E1
9.105698100E-2,-4.633050442E0,-1.480905056E1,5.112000465E0,1.633724835E1
9.302037000E-2,-4.633050442E0,-1.381200027E1,5.725950241E0,1.565321099E1
9.498382900E-2,-4.288050175E0,-1.316100025E1,6.454050541E0,1.527265760E1
9.694738900E-2,-4.173000336E0,-1.243305016E1,6.913950443E0,1.482556504E1
9.891091300E-2,-3.904950142E0,-1.189605045E1,7.411950588E0,1.454997125E1
1.008748150E-1,-3.904950142E0,-1.135905075E1,7.564950466E0,1.419525079E1
1.028386060E-1,-4.018949986E0,-1.059300041E1,7.795050144E0,1.375232429E1
1.048018770E-1,-3.865950108E0,-9.979950905E0,8.025000572E0,1.337705590E1
1.067653000E-1,-3.943050146E0,-9.442950249E0,8.409000397E0,1.324493267E1
1.087285180E-1,-3.904950142E0,-9.021000862E0,8.562000275E0,1.303590967E1
1.106918140E-1,-3.790050268E0,-8.407950401E0,9.136950493E0,1.298237171E1
1.126553930E-1,-3.559950113E0,-7.795050144E0,9.673050880E0,1.292300139E1
1.146188890E-1,-2.869950056E0,-7.335000515E0,1.013295078E1,1.283415511E1
1.165823900E-1,-2.140950203E0,-6.262050152E0,1.040205002E1,1.232881115E1
1.185458890E-1,-1.413000107E0,-4.843950272E0,1.017195034E1,1.135469054E1
1.205092460E-1,-7.999500632E-1,-4.000950336E0,9.942000389E0,1.074666904E1
1.224726510E-1,-5.700000525E-1,-2.926950216E0,1.005705070E1,1.048981442E1
1.244357160E-1,-4.549500346E-1,-1.585950017E0,9.826950073E0,9.964495207E0
1.263988810E-1,-3.780000210E-1,-2.830500007E-1,9.634950638E0,9.646516216E0
1.283617630E-1,-3.019500077E-1,1.555950046E0,9.252000809E0,9.386781840E0
1.303247280E-1,-5.700000525E-1,3.741000175E0,8.869050026E0,9.642615347E0
1.322882800E-1,-7.999500632E-1,5.695050240E0,8.254950523E0,1.006070204E1
1.342516870E-1,-9.150000215E-1,7.726950169E0,7.987050533E0,1.115060358E1
1.362150690E-1,-1.106999993E0,9.565950394E0,7.527000427E0,1.222246257E1
1.381784580E-1,-1.642950058E0,1.117605019E1,6.952050209E0,1.326402596E1
1.401418420E-1,-1.911000133E0,1.236405087E1,6.952050209E0,1.431267541E1
