"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.390316700E-2,-3.214950085E0,-3.349050045E0,-2.140500098E-1,4.647349530E0
3.586570400E-2,-3.520950079E0,-3.694050074E0,-8.269500136E-1,5.169810609E0
3.783093600E-2,-3.751050234E0,-3.924000263E0,-1.363950014E0,5.597188184E0
3.979454400E-2,-3.790050268E0,-4.306950092E0,-1.747050047E0,5.997206350E0
4.175862800E-2,-3.712950230E0,-4.729050159E0,-1.824000120E0,6.283063843E0
4.372208300E-2,-3.904950142E0,-5.149950027E0,-1.939050078E0,6.747631888E0
4.568571500E-2,-4.096050262E0,-5.649000168E0,-2.092050076E0,7.284607345E0
4.764941700E-2,-4.288050175E0,-6.300000191E0,-2.322000027E0,7.966747192E0
4.961309800E-2,-4.441050053E0,-7.066950321E0,-2.667000055E0,8.762282905E0
5.157692700E-2,-4.441050053E0,-7.948050499E0,-2.590050220E0,9.465875155E0
5.354071300E-2,-4.518000126E0,-8.907000542E0,-2.206950188E0,1.022827517E1
5.550368300E-2,-4.249050140E0,-1.013295078E1,-1.134000063E0,1.104613393E1
5.746688300E-2,-3.445050240E0,-1.151295090E1,6.660000086E-1,1.203577856E1
5.943047800E-2,-2.332950115E0,-1.300800037E1,2.314950228E0,1.341677027E1
6.139395800E-2,-1.452000022E0,-1.438695049E1,3.618000269E0,1.490578997E1
6.335750700E-2,-1.336950064E0,-1.561395073E1,5.074050426E0,1.647206364E1
6.532103500E-2,-1.795950055E0,-1.691700172E1,5.956050396E0,1.802456436E1
6.728485800E-2,-1.452000022E0,-1.848795128E1,5.496000290E0,1.934214739E1
6.924855400E-2,-2.629500031E-1,-2.025105095E1,5.304000378E0,2.093577386E1
7.121310200E-2,1.651950121E0,-2.212995148E1,7.182000160E0,2.332476833E1
7.317740000E-2,3.568050146E0,-2.485095024E1,9.214050293E0,2.674321283E1
7.514099000E-2,3.798000097E0,-2.692005157E1,1.063200092E1,2.919166705E1
7.710478700E-2,3.337950230E0,-2.891400146E1,9.367050171E0,3.057618389E1
7.906843600E-2,2.533950090E0,-3.102195168E1,5.764050484E0,3.165448889E1
8.103214700E-2,2.341950178E0,-3.339795303E1,2.773950100E0,3.359468405E1
8.299673600E-2,2.111999989E0,-3.592695236E1,-6.105000153E-2,3.598902857E1
8.496106800E-2,2.111999989E0,-3.838005066E1,-3.664050102E0,3.861235677E1
8.692465100E-2,1.422000051E0,-4.021995163E1,-4.813050270E0,4.053186458E1
8.888845400E-2,1.384050012E0,-4.252005386E1,-5.695050240E0,4.292207092E1
9.085142000E-2,1.039050102E0,-4.420605087E1,-5.695050240E0,4.458349645E1
9.281462200E-2,-1.099500060E-1,-4.543305206E1,-5.733000278E0,4.579346679E1
9.477857800E-2,-1.336950064E0,-4.558605194E1,-4.162050247E0,4.579517692E1
9.674231300E-2,-1.183050036E0,-4.639095306E1,-2.437050104E0,4.646998329E1
9.870689900E-2,4.260000288E-1,-4.830705261E1,-1.977000117E0,4.834936750E1
1.006712360E-1,2.686950207E0,-4.953405380E1,-2.322000027E0,4.966119080E1
1.026348780E-1,4.411950111E0,-4.880595398E1,-1.210950017E0,4.901992297E1
1.045987130E-1,6.520050526E0,-4.803900146E1,-5.970000029E-1,4.848312211E1
1.065625160E-1,8.781000137E0,-4.796205139E1,-6.360000372E-1,4.876339645E1
1.085263290E-1,1.004595089E1,-4.796205139E1,-1.363950014E0,4.902183047E1
1.104900450E-1,9.931050301E0,-4.665900040E1,-3.088950157E0,4.780407609E1
1.124537900E-1,9.931050301E0,-4.478100204E1,-4.468050003E0,4.608608657E1
1.144174830E-1,9.163949966E0,-4.271100235E1,-4.774950027E0,4.394323439E1
1.163811850E-1,8.206049919E0,-4.106295013E1,-5.503050327E0,4.223492266E1
1.183446500E-1,6.405000210E0,-3.976005173E1,-5.388000488E0,4.063146921E1
1.203081850E-1,4.527000427E0,-3.853395081E1,-5.005050182E0,3.912045021E1
1.222721280E-1,3.147000074E0,-3.738405228E1,-4.237950325E0,3.775488309E1
1.242359520E-1,2.188950062E0,-3.619605255E1,-3.394950151E0,3.642075520E1
1.261986760E-1,1.269000053E0,-3.485400009E1,-2.551950216E0,3.497033219E1
1.281617230E-1,3.870000243E-1,-3.355095291E1,-1.939050078E0,3.360916728E1
1.301248490E-1,-6.079500318E-1,-3.236295319E1,-1.287000060E0,3.239423886E1
1.320879520E-1,-1.489950061E0,-3.098295212E1,-8.269500136E-1,3.102977795E1
1.340515200E-1,-1.758000135E0,-2.987205124E1,-4.060500264E-1,2.992649138E1
1.360149520E-1,-1.605000019E0,-2.868405151E1,1.680000126E-1,2.872941107E1
1.379774730E-1,-1.336950064E0,-2.722695160E1,5.130000114E-1,2.726458321E1
1.399402610E-1,-1.413000107E0,-2.565600204E1,5.130000114E-1,2.570000349E1
1.419037470E-1,-2.026050091E0,-2.377800179E1,5.130000114E-1,2.386967568E1
