"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.420542700E-2,8.743050575E0,-2.044305038E1,-2.071905136E1,3.039141872E1
4.616753700E-2,9.471000671E0,-1.910205078E1,-2.010600090E1,2.930596304E1
4.813219600E-2,1.008405018E1,-1.772205162E1,-1.949295044E1,2.820876280E1
5.009536200E-2,1.085100079E1,-1.638000107E1,-1.880295181E1,2.719558144E1
5.205896500E-2,1.169400024E1,-1.530705070E1,-1.826595116E1,2.654619398E1
5.402229200E-2,1.246005058E1,-1.438695049E1,-1.765305138E1,2.595895660E1
5.598571400E-2,1.341900063E1,-1.362105083E1,-1.688700104E1,2.551026083E1
5.794922600E-2,1.453005028E1,-1.296900082E1,-1.604295158E1,2.523278896E1
5.991271200E-2,1.560300064E1,-1.231800079E1,-1.504695034E1,2.493185687E1
6.187612500E-2,1.648500061E1,-1.197300053E1,-1.336005020E1,2.436388574E1
6.383956000E-2,1.729005051E1,-1.174305058E1,-1.136700058E1,2.379188487E1
6.580256100E-2,1.809495163E1,-1.158900070E1,-8.875950813E0,2.324897233E1
6.776570000E-2,1.886100006E1,-1.135905075E1,-6.385050297E0,2.292453325E1
6.972836100E-2,1.939800072E1,-1.124400043E1,-4.009050369E0,2.277679658E1
7.169116200E-2,1.981905174E1,-1.105305099E1,-1.363950014E0,2.273378780E1
7.365361000E-2,2.035605049E1,-1.090005016E1,1.240950108E0,2.312401008E1
7.561616200E-2,2.066205025E1,-1.066995049E1,4.039050102E0,2.360258650E1
7.757928900E-2,2.062395096E1,-1.021005058E1,6.415950298E0,2.389051913E1
7.954227500E-2,2.073900032E1,-9.903000832E0,8.907000542E0,2.464772238E1
8.150550200E-2,2.073900032E1,-9.136050224E0,1.044000053E1,2.495129574E1
8.346865900E-2,2.054805183E1,-8.485050201E0,1.224105072E1,2.537837335E1
8.543176800E-2,2.008800125E1,-7.948050499E0,1.316100025E1,2.529646672E1
8.739489200E-2,1.970400047E1,-7.372950554E0,1.304595089E1,2.475489586E1
8.935842600E-2,1.935900116E1,-6.837000370E0,1.220295048E1,2.388362410E1
9.132186100E-2,1.866900063E1,-6.223950386E0,1.116795063E1,2.262724606E1
9.328528300E-2,1.805595016E1,-5.533950329E0,9.405000687E0,2.109729794E1
9.524870900E-2,1.786500168E1,-4.920000076E0,7.144050121E0,1.985956036E1
9.721222100E-2,1.729005051E1,-4.192049980E0,5.074050426E0,1.850040857E1
9.917570700E-2,1.660004997E1,-3.271950245E0,2.506050110E0,1.710402305E1
1.011396560E-1,1.610205078E1,-2.697000027E0,-5.209500194E-1,1.633466368E1
1.031034720E-1,1.594800091E1,-2.083950043E0,-3.739950180E0,1.651268628E1
1.050667380E-1,1.571805096E1,-1.432950020E0,-6.423000336E0,1.704011165E1
1.070301660E-1,1.525800037E1,-8.190000653E-1,-8.683950424E0,1.757521924E1
1.089924620E-1,1.460700035E1,-1.680000126E-1,-1.040895081E1,1.793708282E1
1.109550890E-1,1.395495033E1,2.910000086E-1,-1.167405033E1,1.819639445E1
1.129184280E-1,1.303500080E1,8.659500480E-1,-1.236405087E1,1.798696387E1
1.148815860E-1,1.161705017E1,1.249050021E0,-1.182705021E1,1.662513450E1
1.168446500E-1,1.042905045E1,1.363950014E0,-1.037100029E1,1.477102230E1
1.188077420E-1,9.318000793E0,1.326000094E0,-8.224950790E0,1.249932920E1
1.207707710E-1,7.861050606E0,1.402950048E0,-5.887050152E0,9.920773405E0
1.227338190E-1,6.097950459E0,1.594050050E0,-3.970050097E0,7.448979334E0
1.246968860E-1,4.564949989E0,1.633050084E0,-2.704950094E0,5.551790341E0
1.266599570E-1,3.031950235E0,1.555950046E0,-1.786050081E0,3.847554765E0
1.286228560E-1,1.651950121E0,1.288050056E0,-8.659500480E-1,2.266689576E0
1.305858050E-1,7.320000529E-1,9.430500269E-1,2.070000172E-1,1.211617282E0
1.325474620E-1,-7.200000435E-2,5.209500194E-1,1.279950023E0,1.383779240E0
1.345094980E-1,-7.620000243E-1,1.759500057E-1,2.122950077E0,2.262414522E0
1.364734580E-1,-1.068000078E0,-5.295000225E-2,3.118950129E0,3.297162079E0
1.384368650E-1,-1.413000107E0,-2.059500068E-1,3.694050074E0,3.960428090E0
1.403995260E-1,-1.489950061E0,-4.360500276E-1,3.847950220E0,4.149314607E0
1.423624060E-1,-1.567050099E0,-6.660000086E-1,3.694050074E0,4.067580113E0
1.443255160E-1,-1.834950089E0,-8.190000653E-1,3.081000090E0,3.678364377E0
1.462885580E-1,-1.987950087E0,-1.126049995E0,2.238000154E0,3.198214944E0
1.482521930E-1,-2.332950115E0,-1.356000066E0,1.318050027E0,3.003106440E0
1.502156780E-1,-2.640000105E0,-1.624050021E0,2.830500007E-1,3.112435755E0
1.521786860E-1,-3.061050177E0,-1.930950046E0,-7.890000343E-1,3.704202656E0
1.541418340E-1,-3.483000278E0,-2.275950193E0,-1.747050047E0,4.512585078E0
1.561048540E-1,-3.712950230E0,-2.659050226E0,-2.551950216E0,5.231538724E0
1.580679110E-1,-3.943050146E0,-2.965950251E0,-3.357000113E0,5.967742881E0
1.600307910E-1,-4.134000301E0,-3.234000206E0,-3.931950092E0,6.558120718E0
1.619937370E-1,-4.096050262E0,-3.502050161E0,-4.545000076E0,7.049752391E0
1.639564760E-1,-3.865950108E0,-3.847050190E0,-5.005050182E0,7.402424787E0
1.659192760E-1,-3.520950079E0,-4.231050014E0,-5.388000488E0,7.702559506E0
1.678822190E-1,-3.022950172E0,-4.729050159E0,-5.656950474E0,7.968891505E0
1.698451200E-1,-2.448000193E0,-5.227050304E0,-5.656950474E0,8.081822102E0
1.718080330E-1,-1.873050094E0,-5.764050484E0,-5.503050327E0,8.186339691E0
1.737709520E-1,-1.260000110E0,-6.415050507E0,-5.311950207E0,8.423614917E0
1.757338760E-1,-9.529500604E-1,-6.837000370E0,-5.197050095E0,8.640718579E0
1.776967980E-1,-7.620000243E-1,-7.219950199E0,-5.082000256E0,8.862000424E0
1.796597660E-1,-5.700000525E-1,-7.450050354E0,-4.927950382E0,8.950577931E0
1.816227210E-1,-4.170000255E-1,-7.756950378E0,-4.315050125E0,8.886159225E0
1.835857990E-1,-1.099500060E-1,-8.254950523E0,-3.088950157E0,8.814641809E0
1.855488550E-1,1.960500032E-1,-8.752950668E0,-1.786050081E0,8.935466183E0
1.875117110E-1,7.320000529E-1,-9.366000175E0,-1.759500057E-1,9.396208904E0
1.894746260E-1,1.192050099E0,-9.940950394E0,1.395000100E0,1.010888240E1
1.914373700E-1,1.306950092E0,-1.036305046E1,2.965950251E0,1.085807507E1
1.934001650E-1,1.575000048E0,-1.132095051E1,3.924000263E0,1.208479721E1
1.953629260E-1,2.380050182E0,-1.231800079E1,3.388050079E0,1.299525551E1
1.973257300E-1,3.108000040E0,-1.304595089E1,2.008050203E0,1.356055915E1
1.992888540E-1,4.450050354E0,-1.423395061E1,2.275950193E0,1.508602822E1
2.012518840E-1,5.944950104E0,-1.557600117E1,3.733050108E0,1.708478584E1
2.032149240E-1,6.750000477E0,-1.680195045E1,4.729050159E0,1.871448532E1
2.051779610E-1,7.783950329E0,-1.806705093E1,5.341950417E0,2.038491222E1
2.071406620E-1,8.857950211E0,-1.971495056E1,4.996950150E0,2.218359909E1
2.091034780E-1,1.012200069E1,-2.170800018E1,4.078050137E0,2.429655661E1
2.110669590E-1,1.150200081E1,-2.393100166E1,2.353049994E0,2.665568809E1
2.130302450E-1,1.246005058E1,-2.584695053E1,-2.910000086E-1,2.869498899E1
2.149931070E-1,1.334205055E1,-2.818500137E1,-3.625050068E0,3.139340063E1
2.169560930E-1,1.445295048E1,-3.094500160E1,-7.113000393E0,3.488661171E1
2.189187090E-1,1.506705093E1,-3.381900024E1,-1.148205090E1,3.876310481E1
2.208814200E-1,1.541205120E1,-3.661695099E1,-1.558305073E1,4.267509686E1
2.228443330E-1,1.571805096E1,-4.006695175E1,-1.857299995E1,4.687615679E1
2.248071870E-1,1.556505108E1,-4.405305099E1,-2.079600143E1,5.114113601E1
2.267701220E-1,1.498995113E1,-4.761705399E1,-2.401605034E1,5.539723043E1
2.287330330E-1,1.399305058E1,-5.137305069E1,-2.574000168E1,5.914003287E1
2.306956440E-1,1.453005028E1,-5.662395096E1,-2.677500153E1,6.429848280E1
2.326583430E-1,1.525800037E1,-6.187500381E1,-2.930505180E1,7.014348675E1
2.346208990E-1,1.330395031E1,-6.517095184E1,-3.018600082E1,7.304411478E1
2.365834970E-1,1.142595100E1,-6.743295288E1,-2.865300179E1,7.415355691E1
2.385463390E-1,1.012200069E1,-6.973200226E1,-2.627700043E1,7.520297726E1
2.405091100E-1,9.739050865E0,-7.283700562E1,-2.405400085E1,7.732188213E1
2.424718850E-1,9.010950089E0,-7.513695526E1,-1.937805176E1,7.811701580E1
2.444346560E-1,8.320950508E0,-7.743600464E1,-1.428000069E1,7.918012030E1
2.463974250E-1,6.328050137E0,-7.816395569E1,-9.259050369E0,7.896441098E1
2.483601940E-1,4.987050056E0,-7.820295715E1,-3.394950151E0,7.843531642E1
2.503223770E-1,4.297049999E0,-7.831800079E1,2.200050116E0,7.846664328E1
2.522847320E-1,3.837000132E0,-7.774305725E1,6.339000225E0,7.809538043E1
2.542473770E-1,3.682950258E0,-7.613294983E1,7.642050266E0,7.660411937E1
2.562099470E-1,5.410500169E-1,-7.291395569E1,8.409000397E0,7.339924357E1
2.581720760E-1,-4.900950432E0,-6.896595001E1,6.952050209E0,6.948850681E1
2.601343340E-1,-9.807000160E0,-6.298695374E1,3.924000263E0,6.386651213E1
2.620982260E-1,-1.252800083E1,-5.658600235E1,1.585950017E0,5.797794153E1
2.640616400E-1,-1.337100029E1,-5.056905365E1,-2.520000041E-1,5.230751705E1
2.660243080E-1,-1.467495060E1,-4.459005356E1,-1.326000094E0,4.696153030E1
2.679871890E-1,-1.432995033E1,-3.914700317E1,-2.169000149E0,4.174374080E1
2.699499840E-1,-1.294995022E1,-3.477795029E1,-1.671000123E0,3.714834153E1
2.719128040E-1,-1.107195091E1,-3.151995087E1,-5.970000029E-1,3.341334776E1
2.738748440E-1,-9.424050331E0,-2.875995064E1,2.449500114E-1,3.026561557E1
2.758371120E-1,-7.852050304E0,-2.642205048E1,1.432950020E0,2.760131865E1
2.778001650E-1,-6.013050079E0,-2.442900085E1,2.736000061E0,2.530649226E1
2.797629750E-1,-5.016000271E0,-2.270400047E1,4.423050404E0,2.366844463E1
2.817259170E-1,-4.671000004E0,-2.121000099E1,6.070950508E0,2.255080538E1
2.836888210E-1,-4.363950253E0,-1.994505119E1,7.144050121E0,2.163068610E1
