"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.189534400E-2,-3.299999982E-2,8.914950371E0,-1.134000063E0,8.986845123E0
3.385795800E-2,4.200000316E-2,8.877000809E0,-1.096050024E0,8.944508540E0
3.582303600E-2,1.570500135E-1,8.838000298E0,-1.134000063E0,8.911838761E0
3.778667100E-2,8.100000024E-2,8.800050735E0,-1.096050024E0,8.868414718E0
3.975072900E-2,8.100000024E-2,8.722949982E0,-1.018950105E0,8.782634952E0
4.171476900E-2,4.200000316E-2,8.685000420E0,-1.057050109E0,8.749191461E0
4.367881100E-2,4.200000316E-2,8.685000420E0,-1.057050109E0,8.749191461E0
4.564280400E-2,-3.299999982E-2,8.761950493E0,-1.134000063E0,8.835090355E0
4.760681100E-2,-3.299999982E-2,8.877000809E0,-1.326000094E0,8.975550602E0
4.957040400E-2,4.200000316E-2,8.685000420E0,-1.171950102E0,8.763815569E0
5.153411800E-2,4.050000105E-3,8.685000420E0,-9.040500522E-1,8.731927347E0
5.349801600E-2,-7.200000435E-2,8.722949982E0,-7.890000343E-1,8.758856172E0
5.546187100E-2,8.100000024E-2,8.647050858E0,-7.510500550E-1,8.679984200E0
5.742571700E-2,1.189500093E-1,8.647050858E0,-7.120500207E-1,8.677133909E0
5.938956500E-2,1.570500135E-1,8.608050346E0,-7.510500550E-1,8.642179798E0
6.135354500E-2,1.570500135E-1,8.608050346E0,-7.890000343E-1,8.645560510E0
6.331748600E-2,1.189500093E-1,8.608050346E0,-7.890000343E-1,8.644952338E0
6.528148700E-2,1.189500093E-1,8.569950104E0,-7.120500207E-1,8.600302850E0
6.724547700E-2,1.570500135E-1,8.532000542E0,-6.739500165E-1,8.560017907E0
6.920952400E-2,1.189500093E-1,8.532000542E0,-5.970000029E-1,8.553688757E0
7.117355400E-2,1.570500135E-1,8.532000542E0,-5.590500236E-1,8.551738705E0
7.313750500E-2,1.570500135E-1,8.493000031E0,-6.360000372E-1,8.518228118E0
7.510147900E-2,1.960500032E-1,8.532000542E0,-6.360000372E-1,8.557918257E0
7.706564300E-2,1.960500032E-1,8.455050468E0,-5.590500236E-1,8.475780257E0
7.902976500E-2,2.340000123E-1,8.493000031E0,-5.209500194E-1,8.512179183E0
8.099396900E-2,1.960500032E-1,8.493000031E0,-4.440000355E-1,8.506857302E0
8.295814900E-2,2.719500065E-1,8.455050468E0,-4.440000355E-1,8.471066713E0
8.492225500E-2,3.490500152E-1,8.416950226E0,-4.060500264E-1,8.433964883E0
8.688638200E-2,3.109500110E-1,8.455050468E0,-2.910000086E-1,8.465769270E0
8.885017500E-2,3.490500152E-1,8.455050468E0,-2.910000086E-1,8.467254298E0
9.081407000E-2,4.260000288E-1,8.455050468E0,-2.520000041E-1,8.469525279E0
9.277808700E-2,4.260000288E-1,8.493000031E0,-2.520000041E-1,8.507410273E0
9.474206800E-2,5.020500422E-1,8.416950226E0,-2.520000041E-1,8.435674801E0
9.670593700E-2,5.020500422E-1,8.416950226E0,-2.910000086E-1,8.436929913E0
9.866983900E-2,5.410500169E-1,8.493000031E0,-2.910000086E-1,8.515190288E0
1.006345710E-1,5.790000558E-1,8.493000031E0,-3.289500177E-1,8.519066774E0
1.025990630E-1,5.790000558E-1,8.493000031E0,-3.289500177E-1,8.519066774E0
1.045627540E-1,6.169500351E-1,8.493000031E0,-2.520000041E-1,8.519106812E0
1.065266800E-1,6.550500393E-1,8.569950104E0,-2.910000086E-1,8.599873042E0
1.084905570E-1,7.320000529E-1,8.569950104E0,-1.759500057E-1,8.602954566E0
1.104544490E-1,8.470500112E-1,8.569950104E0,-9.900000691E-2,8.612278415E0
1.124186020E-1,8.850000501E-1,8.608050346E0,-2.205000073E-2,8.653452609E0
1.143826780E-1,8.470500112E-1,8.608050346E0,1.500000060E-2,8.649638691E0
1.163464860E-1,1.000050068E0,8.608050346E0,-2.205000073E-2,8.665974677E0
1.183103720E-1,1.000050068E0,8.608050346E0,-2.205000073E-2,8.665974677E0
1.202742120E-1,1.077000022E0,8.608050346E0,5.295000225E-2,8.675324980E0
1.222380650E-1,1.039050102E0,8.608050346E0,1.300500035E-1,8.671509032E0
1.242017100E-1,1.000050068E0,8.685000420E0,1.680000126E-1,8.744001168E0
1.261654300E-1,1.039050102E0,8.800050735E0,2.830500007E-1,8.865699937E0
1.281284420E-1,1.000050068E0,8.877000809E0,3.600000143E-1,8.940405109E0
1.300916610E-1,1.000050068E0,8.914950371E0,4.360500276E-1,8.981457559E0
1.320557940E-1,1.039050102E0,8.953050613E0,5.509500504E-1,9.029966022E0
1.340196590E-1,1.000050068E0,9.030000687E0,7.050000429E-1,9.112520925E0
1.359838270E-1,9.619500637E-1,9.106050491E0,6.280500293E-1,9.178232418E0
1.379478990E-1,8.089500666E-1,9.145050049E0,7.050000429E-1,9.207788316E0
1.399117520E-1,8.470500112E-1,9.183000565E0,7.050000429E-1,9.248892807E0
1.418756700E-1,8.089500666E-1,9.259950638E0,8.200500607E-1,9.331321885E0
1.438400430E-1,8.089500666E-1,9.220950127E0,8.200500607E-1,9.292620919E0
1.458042830E-1,8.470500112E-1,9.298050880E0,8.959500194E-1,9.379444031E0
1.477680280E-1,8.850000501E-1,9.375000000E0,1.011000037E0,9.470795699E0
1.497319110E-1,9.240000248E-1,9.451050758E0,9.730500579E-1,9.545834846E0
1.516956150E-1,9.240000248E-1,9.490050316E0,1.087950110E0,9.596794594E0
1.536593720E-1,1.039050102E0,9.565950394E0,1.050000072E0,9.679335318E0
1.556232330E-1,9.240000248E-1,9.757950783E0,1.318050027E0,9.889824842E0
1.575870630E-1,8.089500666E-1,9.873000145E0,1.395000100E0,1.000382714E1
