"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.903465600E-2,-3.559950113E0,3.241950035E0,-4.698000431E0,6.727160834E0
4.099642400E-2,-3.636000156E0,2.974050045E0,-4.084949970E0,6.225133498E0
4.296073300E-2,-3.559950113E0,2.667000055E0,-3.778950214E0,5.836659903E0
4.492395900E-2,-3.406050205E0,2.245950222E0,-3.280050039E0,5.234901972E0
4.688750200E-2,-3.100050211E0,1.671000123E0,-2.974050045E0,4.609503920E0
4.885065000E-2,-2.793000221E0,1.134000063E0,-2.859000206E0,4.154598483E0
5.081393500E-2,-2.601000071E0,5.209500194E-1,-2.859000206E0,3.900060572E0
5.277805700E-2,-2.332950115E0,-1.680000126E-1,-2.935050249E0,3.753052119E0
5.474193300E-2,-2.218050003E0,-5.890500546E-1,-3.817050219E0,4.453829605E0
5.670473900E-2,-2.410050154E0,-1.048950076E0,-5.005050182E0,5.653243789E0
5.866785800E-2,-2.524950027E0,-1.548000097E0,-5.962950230E0,6.657961579E0
6.063104700E-2,-3.061050177E0,-2.083950043E0,-7.305000305E0,8.189988121E0
6.259422600E-2,-3.559950113E0,-3.081000090E0,-8.455050468E0,9.677483391E0
6.455733100E-2,-3.100050211E0,-4.422000408E0,-9.489000320E0,1.091812832E1
6.652045800E-2,-2.103000164E0,-6.070050240E0,-1.037100029E1,1.219941665E1
6.848456200E-2,-6.079500318E-1,-7.795050144E0,-1.006395054E1,1.274423440E1
7.044837900E-2,1.192050099E0,-9.673050880E0,-7.879950523E0,1.253325644E1
7.241120000E-2,2.878050089E0,-1.113000011E1,-5.235000134E0,1.263191598E1
7.437430900E-2,4.372950077E0,-1.239405060E1,-2.014950037E0,1.329643585E1
7.633643400E-2,5.254950047E0,-1.346700096E1,1.816050053E0,1.456957970E1
7.829884800E-2,6.213000298E0,-1.434900093E1,4.843950272E0,1.636945493E1
8.026172200E-2,7.095000267E0,-1.507695103E1,7.795050144E0,1.839609436E1
8.222446100E-2,7.669050217E0,-1.569000053E1,1.028700066E1,2.026851821E1
8.418757700E-2,7.822950363E0,-1.603499985E1,1.235595036E1,2.170228748E1
8.615059600E-2,7.708050251E0,-1.615005112E1,1.392795086E1,2.267655187E1
