"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.952610800E-2,7.669050217E0,8.991000175E0,4.690950394E0,1.271445756E1
4.148788100E-2,7.822950363E0,8.148000717E0,5.457000256E0,1.254461318E1
4.345223800E-2,7.822950363E0,7.305000305E0,6.031950474E0,1.228600864E1
4.541496000E-2,7.938000202E0,6.538950443E0,5.841000080E0,1.182738357E1
4.737816100E-2,8.014050484E0,5.925000191E0,5.074050426E0,1.118376592E1
4.934103600E-2,7.938000202E0,5.350050449E0,4.153950214E0,1.043504621E1
5.130400700E-2,7.899000168E0,4.774950027E0,2.965950251E0,9.694906514E0
5.326686200E-2,8.014050484E0,4.162050247E0,1.893000126E0,9.226652529E0
5.522976100E-2,8.091000557E0,3.549000263E0,1.432950020E0,8.950588731E0
5.719237300E-2,8.206049919E0,2.821050167E0,1.356000066E0,8.782728249E0
5.915506900E-2,8.167950630E0,2.131050110E0,1.432950020E0,8.562133953E0
6.111784900E-2,8.128950119E0,1.479000092E0,1.510050058E0,8.399257258E0
6.308060500E-2,7.975950241E0,9.430500269E-1,1.893000126E0,8.251580156E0
6.504438400E-2,7.783950329E0,2.910000086E-1,2.659050226E0,8.230741876E0
6.700788400E-2,7.477950573E0,-2.440500110E-1,3.463950157E0,8.244892714E0
6.897075400E-2,7.095000267E0,-6.660000086E-1,4.153950214E0,8.248508179E0
7.093380900E-2,6.750000477E0,-1.240950108E0,4.461000443E0,8.185535325E0
7.289670900E-2,6.328050137E0,-1.738950133E0,4.423050404E0,7.914009159E0
7.485965500E-2,5.944950104E0,-2.314050198E0,4.153950214E0,7.612658040E0
7.682255600E-2,5.485050201E0,-2.851050138E0,3.426000118E0,7.067654449E0
7.878548300E-2,5.025000095E0,-3.310950041E0,2.851050138E0,6.658941584E0
8.074840500E-2,4.642050266E0,-3.808950186E0,2.467950106E0,6.492111360E0
8.271132900E-2,4.297049999E0,-4.192049980E0,2.314950228E0,6.434043541E0
8.467420700E-2,4.027950287E0,-4.651950359E0,2.275950193E0,6.560866935E0
8.663709800E-2,3.682950258E0,-4.920000076E0,2.238000154E0,6.540578571E0
8.860003700E-2,3.415050268E0,-5.341950417E0,2.200050116E0,6.711126813E0
9.056298500E-2,3.147000074E0,-5.686950207E0,1.969950080E0,6.791591525E0
9.252622000E-2,2.878050089E0,-6.031950474E0,1.624950051E0,6.878085599E0
9.448937000E-2,2.610000134E0,-6.376950264E0,1.432950020E0,7.037822186E0
9.645176000E-2,2.265000105E0,-6.607050419E0,1.240950108E0,7.093891589E0
9.841437200E-2,2.035050154E0,-6.837000370E0,8.959500194E-1,7.189487438E0
1.003772680E-1,1.690050125E0,-7.027950287E0,5.509500504E-1,7.249268971E0
1.023401050E-1,1.422000051E0,-7.182000160E0,3.600000143E-1,7.330266738E0
1.043039440E-1,1.306950092E0,-7.297050476E0,1.680000126E-1,7.415071692E0
1.062674900E-1,1.153950095E0,-7.297050476E0,1.500000060E-2,7.387744681E0
1.082303520E-1,1.000050068E0,-7.297050476E0,-1.759500057E-1,7.367360735E0
1.101934150E-1,8.470500112E-1,-7.143000126E0,-4.819500148E-1,7.209176121E0
1.121553530E-1,6.169500351E-1,-6.952050209E0,-6.739500165E-1,7.011835571E0
1.141176310E-1,3.490500152E-1,-6.684000492E0,-9.040500522E-1,6.753888139E0
1.160804840E-1,1.570500135E-1,-6.184950352E0,-1.018950105E0,6.270289856E0
1.180431680E-1,-1.480500102E-1,-5.494950294E0,-1.096050024E0,5.605151488E0
1.200061770E-1,-4.170000255E-1,-4.729050159E0,-1.018950105E0,4.855518896E0
1.219690910E-1,-5.700000525E-1,-3.924000263E0,-9.420000315E-1,4.075541950E0
1.239321180E-1,-6.469500065E-1,-3.196050167E0,-9.420000315E-1,3.394207572E0
1.258951350E-1,-5.700000525E-1,-2.581950188E0,-9.040500522E-1,2.794400352E0
1.278577280E-1,-5.320500135E-1,-2.046000004E0,-7.890000343E-1,2.256482725E0
1.298204450E-1,-3.780000210E-1,-1.509000063E0,-4.819500148E-1,1.628570239E0
1.317835380E-1,-2.629500031E-1,-9.340500236E-1,-2.520000041E-1,1.002544838E0
1.337465200E-1,-3.299999982E-2,-5.130000114E-1,-6.105000153E-2,5.176727870E-1
1.357087180E-1,1.570500135E-1,-2.059500068E-1,1.500000060E-2,2.594322881E-1
1.376711420E-1,3.490500152E-1,-1.500000060E-2,-6.105000153E-2,3.546660624E-1
1.396349160E-1,5.410500169E-1,1.380000114E-1,-1.759500057E-1,5.854378946E-1
1.415982940E-1,8.089500666E-1,2.530499995E-1,-4.060500264E-1,9.398463366E-1
1.435611400E-1,1.000050068E0,3.679500222E-1,-6.739500165E-1,1.260831465E0
1.455241420E-1,1.230000019E0,4.440000355E-1,-1.210950017E0,1.782255880E0
1.474869910E-1,1.306950092E0,4.830000103E-1,-1.786050081E0,2.265255493E0
1.494498960E-1,1.459950089E0,5.209500194E-1,-2.514000177E0,2.953479317E0
1.514128210E-1,1.843950033E0,5.590500236E-1,-3.127050161E0,3.673027548E0
1.533757400E-1,2.304000139E0,6.360000372E-1,-3.549000263E0,4.278821749E0
1.553386640E-1,2.764050245E0,8.280000687E-1,-3.472050190E0,4.514497801E0
1.573015870E-1,3.223050117E0,1.096050024E0,-2.896950245E0,4.470089310E0
1.592637710E-1,3.607050180E0,1.402950048E0,-1.479000092E0,4.143250066E0
1.612261850E-1,3.913050175E0,1.824000120E0,6.660000086E-1,4.368351419E0
1.631892390E-1,3.874950171E0,2.361000061E0,3.502950191E0,5.732383462E0
1.651521060E-1,3.568050146E0,3.051000118E0,6.760950089E0,8.231040619E0
1.671153540E-1,3.070050240E0,3.741000175E0,9.787950516E0,1.091898650E1
1.690784910E-1,2.610000134E0,4.392000198E0,1.216500092E1,1.319427958E1
1.710412320E-1,2.111999989E0,5.119950294E0,1.381305027E1,1.488202919E1
1.730040970E-1,1.690050125E0,5.887050152E0,1.446405029E1,1.570739889E1
1.749672090E-1,1.537050128E0,6.538950443E0,1.431105042E1,1.580906575E1
1.769302490E-1,1.306950092E0,7.458000183E0,1.323795033E1,1.525035128E1
1.788932880E-1,1.230000019E0,8.493000031E0,1.105305099E1,1.399335149E1
1.808563280E-1,1.269000053E0,9.565950394E0,8.332050323E0,1.274915019E1
1.828190720E-1,1.192050099E0,1.060095024E1,5.266050339E0,1.189673971E1
1.847819190E-1,1.230000019E0,1.171305084E1,2.161050081E0,1.197408024E1
1.867455300E-1,1.269000053E0,1.278600025E1,-8.659500480E-1,1.287796696E1
1.887089170E-1,1.077000022E0,1.378200054E1,-3.472050190E0,1.425337155E1
1.906707250E-1,2.340000123E-1,1.504695034E1,-5.772000313E0,1.611773738E1
1.926329960E-1,-1.068000078E0,1.642695045E1,-7.495950222E0,1.808796824E1
1.945960060E-1,-2.755050182E0,1.815195084E1,-8.185950279E0,2.010207459E1
1.965588160E-1,-4.633050442E0,2.026005173E1,-7.726050377E0,2.217265674E1
1.985221190E-1,-6.741000175E0,2.290395164E1,-6.730050087E0,2.480575858E1
2.004852780E-1,-8.734050751E0,2.593200111E1,-5.962950230E0,2.800551909E1
2.024484760E-1,-1.049700069E1,2.949705124E1,-4.774950027E0,3.167117306E1
2.044116620E-1,-1.206795025E1,3.333000183E1,-3.702000141E0,3.564027568E1
2.063745300E-1,-1.383105087E1,3.792900085E1,-3.357000113E0,4.051143695E1
2.083375310E-1,-1.536405087E1,4.283505249E1,-3.204000235E0,4.561974790E1
2.103003950E-1,-1.628400040E1,4.674405289E1,-3.433950186E0,4.961821403E1
2.122633000E-1,-1.685895157E1,5.069205093E1,-4.429950237E0,5.360534241E1
2.142262250E-1,-1.666800117E1,5.418000412E1,-5.617950439E0,5.696364171E1
2.161891440E-1,-1.601595116E1,5.693895340E1,-6.538050175E0,5.950883301E1
2.181520640E-1,-1.475100040E1,5.816595459E1,-7.036050320E0,6.041834399E1
2.201149860E-1,-1.256700039E1,5.797395325E1,-7.305000305E0,5.976848487E1
2.220779090E-1,-9.807000160E0,5.644095230E1,-8.148000717E0,5.786318574E1
2.240408320E-1,-7.047000408E0,5.402595139E1,-8.914050102E0,5.520800601E1
2.260041160E-1,-5.053950310E0,5.119005203E1,-9.067950249E0,5.223209322E1
2.279672940E-1,-3.751050234E0,4.770195389E1,-8.646000862E0,4.862406928E1
2.299303400E-1,-2.563050032E0,4.413795090E1,-7.650000572E0,4.486925945E1
2.318934350E-1,-1.336950064E0,4.061205292E1,-7.189950466E0,4.126525979E1
2.338574090E-1,-2.629500031E-1,3.727695084E1,-6.960000515E0,3.792204917E1
2.358211250E-1,9.240000248E-1,3.421095276E1,-6.997950554E0,3.493156705E1
2.377837780E-1,1.498950124E0,3.164295197E1,-7.113000393E0,3.246718397E1
2.397467420E-1,2.111999989E0,2.953500175E1,-7.342950344E0,3.050730720E1
2.417094590E-1,2.533950090E0,2.765700150E1,-7.534950256E0,2.877683287E1
2.436722620E-1,2.878050089E0,2.581695175E1,-7.918050289E0,2.715683506E1
2.456353400E-1,3.223050117E0,2.432295036E1,-8.032950401E0,2.581709237E1
2.475983370E-1,3.337950230E0,2.290395164E1,-8.377950668E0,2.461550264E1
2.495614280E-1,3.760050297E0,2.156295013E1,-8.530950546E0,2.349203937E1
2.515244910E-1,3.874950171E0,2.049000168E1,-8.799000740E0,2.263355521E1
2.534874310E-1,3.990000248E0,1.949295044E1,-9.183000565E0,2.191398453E1
2.554504110E-1,4.258049965E0,1.849695015E1,-9.489000320E0,2.122049202E1
2.574136830E-1,4.372950077E0,1.761495018E1,-9.796050072E0,2.062454264E1
2.593768700E-1,4.297049999E0,1.692495155E1,-1.014105034E1,2.019305637E1
2.613400640E-1,4.105050087E0,1.631204987E1,-1.044795036E1,1.980136545E1
2.633032550E-1,3.837000132E0,1.573695087E1,-1.037100029E1,1.923361224E1
2.652664440E-1,3.568050146E0,1.523895073E1,-1.033305073E1,1.875442717E1
2.672296680E-1,3.223050117E0,1.470195103E1,-9.949050903E0,1.804214593E1
2.691927660E-1,2.917050123E0,1.428105068E1,-9.373950005E0,1.732998929E1
2.711559010E-1,2.725050211E0,1.378200054E1,-8.722949982E0,1.653660467E1
2.731189230E-1,2.533950090E0,1.320795059E1,-8.071050644E0,1.568479265E1
2.750819780E-1,2.533950090E0,1.267095089E1,-7.687950134E0,1.503590625E1
2.770450530E-1,2.533950090E0,1.213395023E1,-7.305000305E0,1.438807426E1
2.790081250E-1,2.419050217E0,1.163595009E1,-6.768000126E0,1.367673075E1
2.809712030E-1,2.380050182E0,1.102305031E1,-6.117000103E0,1.282926215E1
2.829342790E-1,2.380050182E0,1.063995075E1,-5.809950352E0,1.235429941E1
2.848971770E-1,2.494950056E0,1.018005085E1,-5.464950085E0,1.182048605E1
2.868601270E-1,2.610000134E0,9.643050194E0,-4.621950150E0,1.100740391E1
2.888232250E-1,2.725050211E0,9.145050049E0,-4.009050369E0,1.035037796E1
2.907862790E-1,2.839950085E0,8.569950104E0,-3.894000292E0,9.832222513E0
2.927492260E-1,3.223050117E0,8.110050201E0,-3.702000141E0,9.479755871E0
2.947122040E-1,3.262050152E0,7.612050533E0,-3.088950157E0,8.838885540E0
2.966751170E-1,3.070050240E0,7.267050266E0,-2.704950094E0,8.339783154E0
2.986380500E-1,3.184950113E0,6.922050476E0,-2.667000055E0,8.072891633E0
3.006009400E-1,3.337950230E0,6.615000248E0,-2.590050220E0,7.849108240E0
3.025638330E-1,3.147000074E0,6.462000370E0,-2.514000177E0,7.614542346E0
3.045264460E-1,3.031950235E0,6.270000458E0,-2.437050104E0,7.378674758E0
3.064891410E-1,2.686950207E0,5.925000191E0,-2.551950216E0,6.988403150E0
3.084521020E-1,2.419050217E0,5.542050362E0,-2.782050133E0,6.656269909E0
3.104149850E-1,1.614000082E0,5.005050182E0,-3.049950123E0,6.079286088E0
3.123780500E-1,1.230000019E0,4.431000233E0,-2.743950129E0,5.354990702E0
3.143410620E-1,1.690050125E0,3.856050253E0,-2.092050076E0,4.701283495E0
3.163041950E-1,2.457000017E0,3.396000147E0,-1.516950130E0,4.457667976E0
3.182672930E-1,2.457000017E0,2.859000206E0,-1.249050021E0,3.971253860E0
3.202301870E-1,2.265000105E0,2.398950100E0,-9.810000658E-1,3.442026756E0
3.221931410E-1,2.188950062E0,1.939050078E0,-4.819500148E-1,2.963729643E0
3.241554780E-1,1.959000111E0,1.479000092E0,-2.205000073E-2,2.454711573E0
3.261179920E-1,1.690050125E0,1.096050024E0,4.750500321E-1,2.069605666E0
3.280812100E-1,1.459950089E0,7.129500508E-1,1.011000037E0,1.913602131E0
3.300442210E-1,1.306950092E0,1.380000114E-1,1.279950023E0,1.834512090E0
3.320081650E-1,1.114950061E0,-2.440500110E-1,1.279950023E0,1.714918688E0
3.339718360E-1,8.850000501E-1,-7.429500222E-1,1.165050030E0,1.640896522E0
3.359339230E-1,6.940500140E-1,-1.279050112E0,1.165050030E0,1.864139529E0
3.378964980E-1,5.020500422E-1,-1.816050053E0,1.050000072E0,2.156986831E0
3.398594350E-1,1.960500032E-1,-2.391000032E0,7.050000429E-1,2.500468320E0
3.418222650E-1,-1.099500060E-1,-3.004050255E0,4.360500276E-1,3.037523097E0
3.437863310E-1,-7.200000435E-2,-3.616950274E0,2.830500007E-1,3.628722996E0
3.457500340E-1,4.050000105E-3,-4.192049980E0,1.300500035E-1,4.194068722E0
3.477131390E-1,4.050000105E-3,-4.729050159E0,2.070000172E-1,4.733580127E0
3.496764200E-1,1.189500093E-1,-5.265000343E0,2.449500114E-1,5.272037389E0
3.516386050E-1,2.719500065E-1,-5.839950085E0,3.600000143E-1,5.857352116E0
3.536011120E-1,4.639500082E-1,-6.415050507E0,4.360500276E-1,6.446569804E0
3.555653220E-1,6.550500393E-1,-6.952050209E0,7.050000429E-1,7.018341522E0
3.575290330E-1,8.470500112E-1,-7.372950554E0,1.087950110E0,7.500768563E0
3.594920120E-1,1.000050068E0,-7.909950256E0,1.318050027E0,8.081130433E0
3.614551990E-1,1.039050102E0,-8.217000008E0,1.510050058E0,8.418964629E0
3.634183020E-1,1.114950061E0,-8.638050079E0,1.701000094E0,8.874256258E0
3.653814300E-1,1.230000019E0,-8.907000542E0,1.969950080E0,9.204795599E0
3.673446320E-1,1.306950092E0,-9.136050224E0,2.314950228E0,9.514963311E0
3.693078130E-1,1.306950092E0,-9.213000298E0,2.698050022E0,9.688496630E0
3.712710660E-1,1.384050012E0,-9.289950371E0,3.081000090E0,9.884904343E0
3.732342880E-1,1.459950089E0,-9.366000175E0,3.426000118E0,1.007923064E1
3.751973860E-1,1.651950121E0,-9.328050613E0,3.886050224E0,1.023927995E1
3.771605210E-1,1.843950033E0,-9.289950371E0,4.231050014E0,1.037328848E1
3.791235430E-1,1.882050037E0,-9.021000862E0,4.423050404E0,1.022173878E1
3.810865980E-1,1.882050037E0,-8.830050468E0,4.806000233E0,1.022788061E1
3.830498780E-1,1.575000048E0,-8.370000839E0,5.304000378E0,1.003344204E1
3.850130770E-1,1.306950092E0,-7.795050144E0,5.533950329E0,9.648602569E0
3.869752780E-1,9.619500637E-1,-7.219950199E0,5.802000046E0,9.312155139E0
3.889377720E-1,5.020500422E-1,-6.645000458E0,5.994000435E0,8.963042259E0
3.909007220E-1,8.100000024E-2,-6.031950474E0,6.031950474E0,8.530850722E0
3.928635390E-1,-1.099500060E-1,-5.419050217E0,6.607050419E0,8.545835798E0
3.948264990E-1,-5.700000525E-1,-4.882050037E0,6.646050453E0,8.266153837E0
3.967894040E-1,-8.380500674E-1,-4.345950127E0,6.262050152E0,7.668303758E0
3.987525110E-1,-1.144950032E0,-3.808950186E0,5.917050362E0,7.129550973E0
4.007155580E-1,-1.297950029E0,-3.196050167E0,5.725950241E0,6.684752584E0
4.026788650E-1,-1.489950061E0,-2.620950222E0,5.457000256E0,6.234435262E0
4.046420960E-1,-1.528050065E0,-2.083950043E0,5.151000023E0,5.762862658E0
4.066052970E-1,-1.489950061E0,-1.701000094E0,4.806000233E0,5.311401956E0
4.085684970E-1,-1.375050068E0,-1.318050027E0,4.345950127E0,4.745029090E0
4.105315530E-1,-1.297950029E0,-9.340500236E-1,4.000950336E0,4.308680462E0
4.124946510E-1,-1.297950029E0,-5.509500504E-1,3.579000235E0,3.846747056E0
4.144575440E-1,-1.297950029E0,-1.680000126E-1,3.081000090E0,3.347455726E0
4.164204970E-1,-1.260000110E0,-5.295000225E-2,2.736000061E0,3.012656687E0
4.183827490E-1,-1.106999993E0,1.759500057E-1,2.430000067E0,2.676061979E0
4.203451990E-1,-9.529500604E-1,4.060500264E-1,2.046000004E0,2.293274178E0
4.223083370E-1,-9.150000215E-1,6.739500165E-1,1.624950051E0,1.982900989E0
4.242712740E-1,-8.380500674E-1,9.040500522E-1,1.356000066E0,1.832585766E0
4.262342400E-1,-7.620000243E-1,1.134000063E0,1.011000037E0,1.699623857E0
4.281971970E-1,-8.770500422E-1,1.363950014E0,4.750500321E-1,1.689748191E0
4.301613320E-1,-8.770500422E-1,1.555950046E0,2.070000172E-1,1.798067387E0
4.321251210E-1,-8.770500422E-1,1.824000120E0,-2.140500098E-1,2.035193018E0
4.340879420E-1,-8.770500422E-1,1.978050113E0,-6.360000372E-1,2.255303765E0
4.360510460E-1,-7.999500632E-1,2.169000149E0,-1.171950102E0,2.591900614E0
4.380137120E-1,-7.620000243E-1,2.245950222E0,-1.594050050E0,2.857609490E0
4.399765070E-1,-7.620000243E-1,2.361000061E0,-2.014950037E0,3.196089638E0
4.419391110E-1,-6.469500065E-1,2.551950216E0,-2.359950066E0,3.535584609E0
4.439017570E-1,-4.930500090E-1,2.706000090E0,-2.743950129E0,3.885202325E0
4.458644110E-1,-3.780000210E-1,2.859000206E0,-2.935050249E0,4.114764411E0
4.478270630E-1,-1.480500102E-1,3.012000084E0,-2.974050045E0,4.235450033E0
4.497898520E-1,1.189500093E-1,3.241950035E0,-3.049950123E0,4.452705345E0
4.517526010E-1,3.870000243E-1,3.511050224E0,-3.049950123E0,4.666844592E0
4.537162490E-1,8.089500666E-1,3.625950098E0,-3.204000235E0,4.905867082E0
4.556796200E-1,1.114950061E0,3.741000175E0,-3.319050074E0,5.123893963E0
4.576421520E-1,1.345050097E0,3.741000175E0,-3.549000263E0,5.329131725E0
4.596049300E-1,1.575000048E0,3.778950214E0,-3.739950180E0,5.545116520E0
4.615675180E-1,1.843950033E0,3.702000141E0,-4.009050369E0,5.759986253E0
4.635301610E-1,1.959000111E0,3.702000141E0,-4.200000286E0,5.931482857E0
4.654929100E-1,1.996950150E0,3.586950064E0,-4.353000164E0,5.983529985E0
4.674556250E-1,2.111999989E0,3.472050190E0,-4.353000164E0,5.955189913E0
4.694184040E-1,1.996950150E0,3.319050074E0,-4.392000198E0,5.856071126E0
4.713811640E-1,1.804950118E0,3.166050196E0,-4.468050003E0,5.765864168E0
4.733441150E-1,1.575000048E0,2.935950041E0,-4.468050003E0,5.573499675E0
4.753070100E-1,1.306950092E0,2.667000055E0,-4.429950237E0,5.333429192E0
4.772699430E-1,1.077000022E0,2.361000061E0,-4.315050125E0,5.035266420E0
4.792328610E-1,7.320000529E-1,2.092950106E0,-4.047000408E0,4.614593864E0
4.811948850E-1,3.490500152E-1,1.824000120E0,-3.510000229E0,3.971009186E0
4.831571710E-1,4.050000105E-3,1.594050050E0,-2.896950245E0,3.306559040E0
4.851198410E-1,-3.019500077E-1,1.518000126E0,-1.939050078E0,2.481010559E0
4.870823990E-1,-4.930500090E-1,1.363950014E0,-9.040500522E-1,1.709024414E0
4.890441300E-1,-6.079500318E-1,1.288050056E0,3.220500052E-1,1.460271342E0
4.910060990E-1,-6.469500065E-1,1.288050056E0,1.740000129E0,2.259472882E0
4.929688690E-1,-4.549500346E-1,1.363950014E0,3.463950157E0,3.750505281E0
4.949314040E-1,-3.019500077E-1,1.747950077E0,5.686950207E0,5.957172646E0
4.968941690E-1,-1.480500102E-1,2.208000183E0,8.140049934E0,8.435496224E0
4.988568660E-1,4.200000316E-2,2.743950129E0,1.093800068E1,1.127700692E1
5.008205340E-1,3.490500152E-1,3.357000113E0,1.381305027E1,1.421941080E1
5.027839280E-1,7.320000529E-1,3.970950127E0,1.710900116E1,1.757902698E1
5.047464110E-1,1.345050097E0,4.545000076E0,1.994505119E1,2.050051835E1
5.067091610E-1,2.149950027E0,5.044050217E0,2.121000099E1,2.190727892E1
5.086719320E-1,2.878050089E0,5.656950474E0,2.059695053E1,2.155269431E1
5.106346970E-1,3.529950142E0,6.499950409E0,1.867995071E1,2.009105428E1
5.125975120E-1,4.143000126E0,7.497000217E0,1.565295029E1,1.784332690E1
5.145603130E-1,4.872000217E0,8.722949982E0,1.178100014E1,1.544727182E1
5.165234370E-1,5.485050201E0,1.044795036E1,7.411950588E0,1.393493646E1
5.184864660E-1,5.905950069E0,1.259400082E1,2.430000067E0,1.412069414E1
5.204504080E-1,5.830050468E0,1.527705097E1,-2.896950245E0,1.660632697E1
5.224140820E-1,5.293050289E0,1.792200089E1,-8.493000031E0,2.052670326E1
5.243771010E-1,4.258049965E0,2.045100021E1,-1.316895103E1,2.469404120E1
5.263402810E-1,2.992950201E0,2.301900101E1,-1.650300026E1,2.848124253E1
5.283032050E-1,1.843950033E0,2.574105072E1,-1.864995003E1,3.184057914E1
5.302662040E-1,5.790000558E-1,2.896005058E1,-1.857299995E1,3.440895375E1
5.322285730E-1,-8.770500422E-1,3.175800133E1,-1.577505112E1,3.547100369E1
5.341911270E-1,-1.260000110E0,3.405795288E1,-1.094595051E1,3.579588785E1
5.361535270E-1,-9.919500351E-1,3.574394989E1,-4.507050037E0,3.604063566E1
5.381159730E-1,-4.930500090E-1,3.647205353E1,4.750500321E-1,3.647847940E1
5.400796980E-1,7.320000529E-1,3.685605240E1,4.153950214E0,3.709662687E1
5.420430480E-1,2.341950178E0,3.708600235E1,7.297050476E0,3.786955567E1
5.440058990E-1,4.027950287E0,3.704700089E1,9.597000122E0,3.848125608E1
5.459688960E-1,5.062950134E0,3.693195343E1,9.865050316E0,3.856062585E1
5.479318410E-1,4.680000305E0,3.689400101E1,6.415950298E0,3.773902664E1
5.498948090E-1,3.607050180E0,3.666405106E1,2.467950106E0,3.692362697E1
5.518577240E-1,1.651950121E0,3.593595123E1,-9.810000658E-1,3.598727402E1
5.538206550E-1,-1.260000110E0,3.444105148E1,-4.429950237E0,3.474763426E1
5.557833970E-1,-4.594050407E0,3.217995071E1,-7.113000393E0,3.327535577E1
5.577461940E-1,-7.546050549E0,2.961195183E1,-8.722949982E0,3.177893054E1
5.597091230E-1,-9.615000725E0,2.723505211E1,-9.718950272E0,3.047382970E1
5.616720230E-1,-1.076505089E1,2.524200058E1,-1.033305073E1,2.932263377E1
5.636350850E-1,-1.095705032E1,2.363295174E1,-1.017900085E1,2.796757798E1
5.655981000E-1,-1.065000057E1,2.221500015E1,-9.259050369E0,2.631841100E1
5.675608730E-1,-1.022895050E1,2.106495094E1,-7.956000328E0,2.473179184E1
5.695237170E-1,-9.960000038E0,2.026005173E1,-6.652950287E0,2.353578221E1
5.714864240E-1,-9.883950233E0,1.960800171E1,-5.580000401E0,2.265618255E1
5.734491740E-1,-9.615000725E0,1.903305054E1,-4.774950027E0,2.185189693E1
5.754123060E-1,-9.270000458E0,1.849695015E1,-4.047000408E0,2.108194217E1
5.773753260E-1,-9.001950264E0,1.819005013E1,-3.472050190E0,2.059048724E1
5.793382790E-1,-8.772000313E0,1.799805069E1,-3.357000113E0,2.030141049E1
5.813012510E-1,-8.542050362E0,1.788300133E1,-3.778950214E0,2.017545106E1
5.832641860E-1,-8.236050606E0,1.788300133E1,-4.429950237E0,2.018065225E1
5.852271170E-1,-8.044050217E0,1.776900101E1,-5.082000256E0,2.015616202E1
5.871903530E-1,-7.852050304E0,1.780695152E1,-5.733000278E0,2.028816179E1
5.891535000E-1,-7.621950150E0,1.795995140E1,-6.270000458E0,2.049309357E1
5.911166110E-1,-7.468950272E0,1.815195084E1,-6.499950409E0,2.067674763E1
5.930797320E-1,-7.239000320E0,1.811295128E1,-6.768000126E0,2.064674200E1
5.950424260E-1,-7.086000443E0,1.830495071E1,-6.921000481E0,2.081304568E1
5.970052560E-1,-6.817050457E0,1.834305000E1,-6.691050529E0,2.068114643E1
5.989683740E-1,-6.472050190E0,1.822800064E1,-6.232050419E0,2.032205436E1
6.009314080E-1,-6.051000118E0,1.795995140E1,-5.542050362E0,1.974560151E1
6.028944470E-1,-5.590950489E0,1.776900101E1,-4.698000431E0,1.921112522E1
6.048574850E-1,-5.208000183E0,1.765395164E1,-4.009050369E0,1.883766863E1
6.068204530E-1,-4.747950077E0,1.750005150E1,-3.586950064E0,1.848407539E1
6.087834290E-1,-4.288050175E0,1.734705162E1,-3.088950157E0,1.813419938E1
6.107462980E-1,-3.904950142E0,1.726995087E1,-2.629050016E0,1.790004867E1
6.127091980E-1,-3.367950201E0,1.723200035E1,-2.206950188E0,1.769620168E1
6.146721240E-1,-2.869950056E0,1.707900047E1,-1.939050078E0,1.742666881E1
6.166350420E-1,-2.448000193E0,1.704000092E1,-1.555950046E0,1.728511836E1
6.185979710E-1,-2.218050003E0,1.696395111E1,-1.057050109E0,1.714096666E1
6.205608930E-1,-1.987950087E0,1.669500160E1,-7.120500207E-1,1.682801353E1
6.225238610E-1,-1.873050094E0,1.661894989E1,-6.739500165E-1,1.673774240E1
6.244868160E-1,-1.911000133E0,1.661894989E1,-6.739500165E-1,1.674203170E1
6.264499140E-1,-2.179949999E0,1.657995033E1,-5.970000029E-1,1.673330045E1
6.284129700E-1,-2.563050032E0,1.646505165E1,-6.739500165E-1,1.667697095E1
