"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.371174800E-2,-8.542050362E0,1.596705055E1,-2.322000027E0,1.825664295E1
3.567333500E-2,-8.236050606E0,1.608195114E1,-2.014950037E0,1.818025593E1
3.763751700E-2,-8.005949974E0,1.615904999E1,-1.708950043E0,1.811437666E1
3.960022400E-2,-7.737000465E0,1.627395058E1,-1.326000094E0,1.806822957E1
4.156336400E-2,-7.507050514E0,1.638899994E1,-1.057050109E0,1.805747716E1
4.352641500E-2,-7.162050247E0,1.654200172E1,-7.890000343E-1,1.804315122E1
4.548950200E-2,-6.894000530E0,1.665705109E1,-4.440000355E-1,1.803279596E1
4.745172100E-2,-6.511050224E0,1.661894989E1,-6.105000153E-2,1.784900551E1
4.941419500E-2,-6.127950191E0,1.661894989E1,4.360500276E-1,1.771810962E1
5.137714900E-2,-5.821050167E0,1.650405121E1,8.580000401E-1,1.752154375E1
5.333996200E-2,-5.398950100E0,1.654200172E1,1.165050030E0,1.743971975E1
5.530272500E-2,-4.939050198E0,1.661894989E1,1.240950108E0,1.738170502E1
5.726550200E-2,-4.518000126E0,1.661894989E1,1.356000066E0,1.727543217E1
5.922813500E-2,-4.057950020E0,1.673400116E1,1.203000069E0,1.726096644E1
6.119081000E-2,-3.559950113E0,1.681005096E1,1.011000037E0,1.721258782E1
6.315427000E-2,-3.061050177E0,1.688700104E1,8.580000401E-1,1.718362582E1
6.511750000E-2,-2.563050032E0,1.696395111E1,9.730500579E-1,1.718405334E1
6.708034800E-2,-1.950000048E0,1.692495155E1,1.165050030E0,1.707670421E1
6.904332500E-2,-1.452000022E0,1.677195168E1,1.279950023E0,1.688327395E1
7.100623900E-2,-9.150000215E-1,1.665705109E1,1.395000100E0,1.674038832E1
7.296917100E-2,-6.469500065E-1,1.661894989E1,1.585950017E0,1.670698289E1
7.493209200E-2,-5.320500135E-1,1.673400116E1,1.893000126E0,1.684913415E1
7.689501700E-2,-5.700000525E-1,1.692495155E1,2.200050116E0,1.707685878E1
7.885796900E-2,-4.170000255E-1,1.707900047E1,2.430000067E0,1.725604377E1
8.082092300E-2,-2.250000089E-1,1.715505028E1,2.583000183E0,1.734987795E1
8.278361700E-2,4.050000105E-3,1.723200035E1,2.851050138E0,1.746626289E1
8.474638700E-2,3.109500110E-1,1.711695099E1,3.234000206E0,1.742255602E1
8.671010100E-2,6.169500351E-1,1.696395111E1,3.618000269E0,1.735644522E1
8.867353800E-2,8.470500112E-1,1.692495155E1,4.000950336E0,1.741203843E1
9.063649000E-2,8.470500112E-1,1.696395111E1,4.384050369E0,1.754175101E1
9.259959800E-2,8.470500112E-1,1.700205040E1,4.996950150E0,1.774138445E1
9.456249000E-2,9.240000248E-1,1.681005096E1,5.380950451E0,1.767445097E1
9.652544500E-2,1.230000019E0,1.646505165E1,4.882050037E0,1.721758515E1
9.848800200E-2,1.384050012E0,1.573695087E1,4.078050137E0,1.631556650E1
1.004506750E-1,1.575000048E0,1.497105026E1,3.273000240E0,1.540537249E1
1.024136850E-1,1.843950033E0,1.389705086E1,2.545050144E0,1.424799826E1
1.043765960E-1,2.188950062E0,1.290105057E1,2.046000004E0,1.324442238E1
1.063395220E-1,2.610000134E0,1.190400028E1,2.122950077E0,1.237029670E1
1.083024430E-1,3.070050240E0,1.087005043E1,2.314950228E0,1.153005635E1
1.102655460E-1,3.607050180E0,9.949950218E0,2.812950134E0,1.095102775E1
1.122285960E-1,4.105050087E0,9.067950249E0,3.426000118E0,1.052694803E1
1.141916290E-1,4.488000393E0,8.148000717E0,3.963000298E0,1.011125287E1
1.161546700E-1,4.872000217E0,7.228050232E0,4.308000088E0,9.723166204E0
1.181177520E-1,5.178000450E0,6.385050297E0,4.498950005E0,9.371291645E0
1.200808220E-1,5.485050201E0,5.580000401E0,4.498950005E0,9.025670686E0
1.220437210E-1,5.599950314E0,4.736999989E0,4.345950127E0,8.525602319E0
1.240066700E-1,5.638050079E0,4.085999966E0,4.269000053E0,8.167457736E0
1.259694490E-1,5.293050289E0,3.664050102E0,4.384050369E0,7.788551993E0
1.279322810E-1,5.215950012E0,3.204000235E0,4.614000320E0,7.665556144E0
1.298953540E-1,5.254950047E0,2.782050133E0,4.959000111E0,7.742479256E0
1.318583560E-1,4.987050056E0,2.476050138E0,5.380950451E0,7.743133752E0
1.338214910E-1,4.795050144E0,2.245950222E0,5.266050339E0,7.467803188E0
1.357845870E-1,4.680000305E0,2.053950071E0,4.498950005E0,6.808940071E0
1.377474710E-1,4.756950378E0,1.708950043E0,3.655950069E0,6.238193493E0
1.397104250E-1,4.795050144E0,1.210950017E0,3.004050255E0,5.786469024E0
1.416735220E-1,4.795050144E0,7.890000343E-1,2.620950222E0,5.521268605E0
1.436365770E-1,4.717950344E0,2.910000086E-1,2.583000183E0,5.386615487E0
1.456006940E-1,4.488000393E0,-1.290000081E-1,2.812950134E0,5.298252258E0
1.475645000E-1,4.297049999E0,-5.890500546E-1,3.234000206E0,5.410210347E0
1.495272440E-1,3.990000248E0,-1.164000034E0,3.655950069E0,5.535428526E0
1.514903190E-1,3.721950293E0,-1.738950133E0,3.924000263E0,5.681077328E0
1.534532160E-1,3.453000069E0,-2.238000154E0,4.153950214E0,5.846978412E0
1.554161650E-1,3.184950113E0,-2.736000061E0,4.231050014E0,5.960821066E0
1.573789480E-1,2.955000162E0,-3.234000206E0,4.039050102E0,5.958582803E0
1.593417800E-1,2.725050211E0,-3.771000147E0,3.426000118E0,5.777873101E0
1.613047380E-1,2.610000134E0,-4.306950092E0,2.736000061E0,5.731283986E0
1.632676450E-1,2.533950090E0,-4.882050037E0,2.085000038E0,5.882392437E0
1.652309310E-1,2.494950056E0,-5.457000256E0,1.510050058E0,6.187396767E0
1.671941060E-1,2.380050182E0,-5.955000401E0,1.318050027E0,6.547054644E0
1.691571220E-1,2.304000139E0,-6.376950264E0,8.580000401E-1,6.834476965E0
1.711201850E-1,2.149950027E0,-6.721950531E0,5.130000114E-1,7.076020992E0
1.730843710E-1,1.996950150E0,-6.952050209E0,1.680000126E-1,7.235125155E0
1.750482410E-1,1.843950033E0,-7.219950199E0,-3.670500219E-1,7.460734436E0
1.770111830E-1,1.767000079E0,-7.527000427E0,-1.057050109E0,7.803549170E0
1.789743970E-1,1.767000079E0,-7.717950344E0,-1.632000089E0,8.084087523E0
1.809372250E-1,1.767000079E0,-8.062950134E0,-2.206950188E0,8.544242698E0
1.829001660E-1,1.882050037E0,-8.370000839E0,-2.667000055E0,8.983981060E0
1.848633050E-1,1.959000111E0,-8.677050591E0,-2.974050045E0,9.379438259E0
1.868263900E-1,1.996950150E0,-8.907000542E0,-2.974050045E0,9.600387608E0
1.887896000E-1,1.959000111E0,-8.983050346E0,-2.629050016E0,9.562676349E0
1.907527740E-1,1.843950033E0,-9.021000862E0,-2.284050226E0,9.486595475E0
1.927157000E-1,1.651950121E0,-8.907000542E0,-2.014950037E0,9.280281327E0
1.946786990E-1,1.384050012E0,-8.599950790E0,-1.594050050E0,8.855266433E0
1.966419050E-1,1.153950095E0,-7.909950256E0,-1.287000060E0,8.096621705E0
1.986050630E-1,7.699500322E-1,-7.066950321E0,-9.420000315E-1,7.170911654E0
2.005667300E-1,3.490500152E-1,-6.262050152E0,-5.590500236E-1,6.296637590E0
2.025288340E-1,1.570500135E-1,-5.494950294E0,-2.140500098E-1,5.501359909E0
2.044918520E-1,8.100000024E-2,-4.804950237E0,5.295000225E-2,4.805924623E0
2.064546020E-1,1.570500135E-1,-4.306950092E0,2.070000172E-1,4.314780737E0
2.084168300E-1,2.340000123E-1,-3.771000147E0,3.979500234E-1,3.799152844E0
2.103792140E-1,4.639500082E-1,-3.387000084E0,5.899500251E-1,3.469158430E0
2.123433100E-1,6.940500140E-1,-3.004050255E0,7.810500264E-1,3.180575813E0
2.143069040E-1,1.000050068E0,-2.620950222E0,1.050000072E0,2.995326419E0
2.162698930E-1,1.230000019E0,-2.391000032E0,1.203000069E0,2.945673160E0
2.182330600E-1,1.384050012E0,-2.083950043E0,1.471050024E0,2.902142379E0
2.201958060E-1,1.651950121E0,-1.816050053E0,1.548000097E0,2.902288975E0
2.221586760E-1,2.074050188E0,-1.624050021E0,1.816050053E0,3.199571916E0
2.241219220E-1,2.380050182E0,-1.432950020E0,2.046000004E0,3.450231970E0
2.260850580E-1,2.572050095E0,-1.279050112E0,2.314950228E0,3.689228298E0
2.280483050E-1,2.839950085E0,-1.126049995E0,2.391000032E0,3.879456950E0
2.300115200E-1,3.108000040E0,-8.959500194E-1,2.353049994E0,3.999904369E0
2.319744480E-1,3.376950264E0,-7.039500475E-1,2.391000032E0,4.197168082E0
2.339374540E-1,3.645000219E0,-5.509500504E-1,2.238000154E0,4.312565043E0
2.359005420E-1,3.952050209E0,-4.740000367E-1,2.008050203E0,4.458210685E0
2.378636060E-1,4.182000160E0,-3.210000098E-1,1.777950048E0,4.555576003E0
2.398265060E-1,4.450050354E0,-2.059500068E-1,1.548000097E0,4.716107278E0
2.417894540E-1,4.603050232E0,-9.105000645E-2,1.395000100E0,4.810653471E0
2.437523730E-1,4.756950378E0,6.105000153E-2,9.349500537E-1,4.848343594E0
2.457153000E-1,4.909950256E0,2.140500098E-1,2.830500007E-1,4.922757990E0
2.476785370E-1,5.140050411E0,4.440000355E-1,-3.670500219E-1,5.172231625E0
2.496416830E-1,5.293050289E0,6.739500165E-1,-1.249050021E0,5.480028827E0
2.516044340E-1,5.485050201E0,8.659500480E-1,-2.130000114E0,5.947482298E0
2.535673000E-1,5.791050434E0,1.096050024E0,-2.859000206E0,6.550684923E0
2.555301920E-1,6.097950459E0,1.402950048E0,-3.319050074E0,7.083033391E0
2.574930720E-1,6.366000175E0,1.747950077E0,-3.241950035E0,7.354694265E0
2.594560480E-1,6.558000088E0,2.208000183E0,-2.245050192E0,7.274811360E0
2.614189950E-1,6.634950161E0,2.706000090E0,5.295000225E-2,7.165738191E0
2.633815100E-1,6.442950249E0,3.280950069E0,3.273000240E0,7.936546594E0
2.653441510E-1,6.175050259E0,3.931950092E0,6.876000404E0,1.004344855E1
2.673069410E-1,5.830050468E0,4.545000076E0,9.979950905E0,1.241957867E1
2.692696880E-1,5.560950279E0,5.197050095E0,1.208805084E1,1.428476359E1
2.712328660E-1,5.485050201E0,5.925000191E0,1.304595089E1,1.534236740E1
2.731959180E-1,5.485050201E0,6.499950409E0,1.316100025E1,1.566994125E1
2.751589550E-1,5.715000153E0,7.228050232E0,1.231800079E1,1.538307773E1
2.771219970E-1,6.060000420E0,8.032950401E0,1.063200092E1,1.463869328E1
2.790849600E-1,6.520050526E0,9.183000565E0,8.370000839E0,1.403194471E1
2.810479350E-1,7.171050549E0,1.048605061E1,5.419050217E0,1.381113060E1
2.830111640E-1,8.128950119E0,1.175100040E1,3.196050167E0,1.464174092E1
2.849743180E-1,8.743050575E0,1.305405045E1,1.356000066E0,1.576984155E1
2.869377870E-1,9.202950478E0,1.443405056E1,-4.060500264E-1,1.712311273E1
2.889011640E-1,9.318000793E0,1.585200119E1,-2.206950188E0,1.851976538E1
2.908641460E-1,8.818950653E0,1.792200089E1,-4.315050125E0,2.043505968E1
2.928272430E-1,7.669050217E0,2.052795029E1,-6.307950497E0,2.280353731E1
