"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.291957000E-2,-7.621950150E0,-1.960005188E1,-1.546800041E1,2.610584598E1
3.488164100E-2,-7.201050282E0,-1.891005135E1,-1.566000080E1,2.558673078E1
3.684626300E-2,-6.241950512E0,-1.829700089E1,-1.635000038E1,2.531925552E1
3.880948000E-2,-5.323050022E0,-1.779900169E1,-1.684800148E1,2.507976229E1
4.077310900E-2,-3.943050146E0,-1.726200104E1,-1.742295074E1,2.484116617E1
4.273656800E-2,-2.677950144E0,-1.672500038E1,-1.773000145E1,2.452039980E1
4.470009000E-2,-1.489950061E0,-1.599705029E1,-1.788300133E1,2.404011867E1
4.666439600E-2,-2.250000089E-1,-1.526895046E1,-1.795995140E1,2.357437862E1
4.862847200E-2,9.619500637E-1,-1.465605068E1,-1.757595062E1,2.290500403E1
5.059223500E-2,1.843950033E0,-1.396605110E1,-1.707795143E1,2.213836399E1
5.255609000E-2,2.802000046E0,-1.319895077E1,-1.650300026E1,2.131695389E1
5.451928200E-2,3.837000132E0,-1.262400055E1,-1.508505058E1,2.004112549E1
5.648265200E-2,4.680000305E0,-1.201095104E1,-1.374405098E1,1.884314955E1
5.844621800E-2,5.101050377E0,-1.128300095E1,-1.240200043E1,1.752530855E1
6.040972700E-2,5.446050167E0,-1.063095093E1,-1.098405075E1,1.622732113E1
6.237322700E-2,5.560950279E0,-9.979950905E0,-9.604050636E0,1.492519269E1
6.433672900E-2,5.638050079E0,-9.250950813E0,-8.340000153E0,1.367198969E1
6.630031800E-2,5.830050468E0,-8.638050079E0,-7.305000305E0,1.272668170E1
6.826388100E-2,5.905950069E0,-7.987050533E0,-6.307950497E0,1.176704984E1
7.022759600E-2,6.021000385E0,-7.335000515E0,-5.656950474E0,1.104788518E1
7.219126600E-2,6.136050224E0,-6.837000370E0,-4.966950417E0,1.044348040E1
7.415491800E-2,6.136050224E0,-6.339000225E0,-4.582950115E0,9.941703474E0
7.611857500E-2,6.405000210E0,-5.955000401E0,-4.123950005E0,9.669178926E0
7.808225800E-2,6.750000477E0,-5.572050095E0,-3.931950092E0,9.595336379E0
8.004594300E-2,7.095000267E0,-5.304000378E0,-4.047000408E0,9.739079068E0
8.200981700E-2,7.401000500E0,-5.188950062E0,-3.931950092E0,9.856989534E0
8.397363500E-2,7.861050606E0,-4.959000111E0,-4.047000408E0,1.013735720E1
8.593717200E-2,8.244000435E0,-4.729050159E0,-3.778950214E0,1.022780149E1
8.790079100E-2,8.628000259E0,-4.461000443E0,-3.817050219E0,1.043612887E1
8.986441600E-2,9.010950089E0,-4.153950214E0,-4.123950005E0,1.074520765E1
9.182806300E-2,9.433050156E0,-3.732000113E0,-4.276950359E0,1.100920362E1
9.379158400E-2,9.816000938E0,-3.541050196E0,-4.545000076E0,1.138200055E1
9.575514200E-2,9.892050743E0,-3.271950245E0,-4.774950027E0,1.146117246E1
9.771849700E-2,1.019895077E1,-3.004050255E0,-5.197050095E0,1.183436709E1
9.968191100E-2,1.023705006E1,-2.736000061E0,-5.388000488E0,1.188753294E1
1.016452760E-1,1.042905045E1,-2.544000149E0,-5.772000313E0,1.218823275E1
1.036086660E-1,1.042905045E1,-2.467050076E0,-5.733000278E0,1.215395909E1
1.055720500E-1,1.046700096E1,-2.428950071E0,-5.809950352E0,1.221529495E1
1.075354360E-1,1.062105083E1,-2.314050198E0,-6.078000069E0,1.245406094E1
1.094991790E-1,1.081200027E1,-2.428950071E0,-6.460950375E0,1.282743264E1
1.114628180E-1,1.081200027E1,-2.467050076E0,-6.615000248E0,1.291293593E1
1.134265740E-1,1.081200027E1,-2.506050110E0,-6.538050175E0,1.288121645E1
1.153902890E-1,1.077405071E1,-2.351999998E0,-6.538050175E0,1.282022515E1
1.173541580E-1,1.062105083E1,-2.275950193E0,-6.307950497E0,1.256092790E1
1.193179810E-1,1.046700096E1,-2.238000154E0,-5.962950230E0,1.225249074E1
1.212816520E-1,1.031400013E1,-2.046000004E0,-5.503050327E0,1.186795170E1
1.232453680E-1,1.016100025E1,-1.893000126E0,-4.966950417E0,1.146734372E1
1.252088760E-1,9.777000427E0,-1.624050021E0,-4.468050003E0,1.087155677E1
1.271724450E-1,9.202950478E0,-1.240950108E0,-4.276950359E0,1.022382311E1
1.291361570E-1,8.359050751E0,-8.190000653E-1,-3.931950092E0,9.273873090E0
1.310998270E-1,7.593000412E0,-4.360500276E-1,-3.664050102E0,8.442100333E0
1.330623980E-1,6.673050404E0,-1.290000081E-1,-3.049950123E0,7.338149524E0
1.350252910E-1,5.485050201E0,1.380000114E-1,-2.206950188E0,5.914004468E0
1.369889890E-1,4.182000160E0,4.060500264E-1,-1.363950014E0,4.417506265E0
1.389524480E-1,2.572050095E0,4.060500264E-1,-4.060500264E-1,2.635373776E0
1.409145590E-1,1.230000019E0,3.289500177E-1,5.130000114E-1,1.372689758E0
1.428770650E-1,4.050000105E-3,2.530499995E-1,1.279950023E0,1.304730917E0
1.448410950E-1,-1.106999993E0,1.380000114E-1,1.585950017E0,1.939002435E0
1.468046780E-1,-2.065050125E0,1.380000114E-1,1.893000126E0,2.804804004E0
1.487692950E-1,-2.793000221E0,2.295000106E-2,1.893000126E0,3.374140841E0
1.507336060E-1,-3.291000128E0,-1.290000081E-1,1.585950017E0,3.655483593E0
1.526975540E-1,-3.751050234E0,-2.830500007E-1,9.349500537E-1,3.876161344E0
1.546616090E-1,-4.018949986E0,-6.280500293E-1,-9.900000691E-2,4.068931902E0
1.566250580E-1,-4.057950020E0,-1.164000034E0,-8.659500480E-1,4.309492305E0
1.585886850E-1,-4.057950020E0,-1.548000097E0,-1.632000089E0,4.639686084E0
1.605522670E-1,-4.134000301E0,-2.083950043E0,-2.437050104E0,5.231827547E0
1.625158530E-1,-4.363950253E0,-2.391000032E0,-2.935050249E0,5.777150070E0
1.644792030E-1,-4.555950165E0,-2.851050138E0,-3.510000229E0,6.419133150E0
1.664426230E-1,-4.671000004E0,-3.502050161E0,-4.009050369E0,7.082025221E0
