"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.367205000E-2,-4.173000336E0,9.145050049E0,-1.516950130E0,1.016597314E1
3.563255800E-2,-4.210950375E0,9.106050491E0,-1.516950130E0,1.014659531E1
3.759574300E-2,-4.210950375E0,9.067950249E0,-1.402050018E0,1.009581938E1
3.955754000E-2,-4.173000336E0,9.067950249E0,-1.326000094E0,1.006975321E1
4.151974300E-2,-4.134000301E0,8.991000175E0,-1.326000094E0,9.984303626E0
4.348174800E-2,-4.173000336E0,8.953050613E0,-1.441050053E0,9.982368073E0
4.544381500E-2,-4.249050140E0,9.067950249E0,-1.287000060E0,1.009646067E1
4.740580300E-2,-4.363950253E0,9.106050491E0,-1.096050024E0,1.015704401E1
4.936781500E-2,-4.441050053E0,9.145050049E0,-9.810000658E-1,1.021358052E1
5.132976800E-2,-4.518000126E0,9.220950127E0,-7.120500207E-1,1.029297147E1
5.329173800E-2,-4.633050442E0,9.336000443E0,-5.590500236E-1,1.043736545E1
5.525355800E-2,-4.708950043E0,9.412950516E0,-2.910000086E-1,1.052912764E1
5.721542500E-2,-4.863000393E0,9.528000832E0,-1.369500011E-1,1.069814601E1
5.917695200E-2,-4.939050198E0,9.643050194E0,1.500000060E-2,1.083433703E1
6.113857900E-2,-5.053950310E0,9.796050072E0,1.680000126E-1,1.102421130E1
6.310023700E-2,-5.208000183E0,9.949950218E0,1.680000126E-1,1.123178522E1
6.506188500E-2,-5.476050377E0,1.014105034E1,-2.910000086E-1,1.152877750E1
6.702365900E-2,-5.553000450E0,1.021800041E1,-1.759500057E-1,1.163074825E1
6.898537500E-2,-5.629050255E0,1.037100029E1,1.500000060E-2,1.180017283E1
7.094634300E-2,-5.668050289E0,1.044795036E1,3.600000143E-1,1.189184851E1
7.290753100E-2,-5.668050289E0,1.052505016E1,4.750500321E-1,1.196365945E1
7.486948900E-2,-5.706000328E0,1.056300068E1,5.130000114E-1,1.201659653E1
7.683122100E-2,-5.743950367E0,1.063995075E1,3.220500052E-1,1.209567005E1
7.879379300E-2,-5.743950367E0,1.067805004E1,2.070000172E-1,1.212668823E1
8.075612900E-2,-5.668050289E0,1.063995075E1,1.300500035E-1,1.205621247E1
8.271802800E-2,-5.629050255E0,1.063995075E1,1.500000060E-2,1.203723323E1
