"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.996346500E-2,-3.022950172E0,1.079295063E1,-8.269500136E-1,1.123876583E1
3.192367600E-2,-2.985000134E0,1.087005043E1,-8.269500136E-1,1.130274606E1
3.388654200E-2,-2.908050060E0,1.098495007E1,-7.890000343E-1,1.139071570E1
3.584771700E-2,-2.869950056E0,1.102305031E1,-7.510500550E-1,1.141526730E1
3.780938800E-2,-2.677950144E0,1.106100082E1,-7.120500207E-1,1.140281419E1
3.977106800E-2,-2.640000105E0,1.110000038E1,-7.510500550E-1,1.143432050E1
4.173275600E-2,-2.448000193E0,1.110000038E1,-6.739500165E-1,1.138669935E1
4.369427000E-2,-2.295000076E0,1.106100082E1,-7.510500550E-1,1.132152113E1
4.565583500E-2,-2.140950203E0,1.106100082E1,-5.970000029E-1,1.128210158E1
4.761772800E-2,-2.065050125E0,1.110000038E1,-5.209500194E-1,1.130247006E1
4.957952500E-2,-1.950000048E0,1.110000038E1,-5.590500236E-1,1.128384002E1
5.154136500E-2,-1.834950089E0,1.106100082E1,-5.209500194E-1,1.122426701E1
5.350320300E-2,-1.642950058E0,1.102305031E1,-4.819500148E-1,1.115523190E1
5.546482700E-2,-1.528050065E0,1.106100082E1,-4.819500148E-1,1.117644631E1
5.742651300E-2,-1.489950061E0,1.106100082E1,-4.440000355E-1,1.116972813E1
5.938825100E-2,-1.413000107E0,1.102305031E1,-4.060500264E-1,1.112066023E1
6.134997300E-2,-1.297950029E0,1.102305031E1,-3.289500177E-1,1.110407675E1
6.331202000E-2,-1.144950032E0,1.098495007E1,-3.670500219E-1,1.105055493E1
6.527397200E-2,-1.068000078E0,1.094595051E1,-3.670500219E-1,1.100405300E1
6.723539600E-2,-1.030050039E0,1.090800095E1,-3.289500177E-1,1.096146413E1
6.919697400E-2,-8.770500422E-1,1.094595051E1,-3.289500177E-1,1.098595728E1
7.115873000E-2,-8.380500674E-1,1.090800095E1,-2.910000086E-1,1.094401634E1
7.312043300E-2,-8.380500674E-1,1.083105087E1,-2.910000086E-1,1.086732129E1
7.508240600E-2,-7.999500632E-1,1.083105087E1,-3.670500219E-1,1.086675245E1
7.704432300E-2,-7.230000496E-1,1.079295063E1,-2.910000086E-1,1.082105325E1
7.900597800E-2,-6.850500107E-1,1.083105087E1,-3.289500177E-1,1.085767768E1
8.096771000E-2,-7.230000496E-1,1.079295063E1,-2.910000086E-1,1.082105325E1
8.292926000E-2,-6.850500107E-1,1.079295063E1,-2.520000041E-1,1.081760513E1
8.489086400E-2,-6.469500065E-1,1.075500011E1,-1.759500057E-1,1.077587723E1
8.685274500E-2,-6.079500318E-1,1.079295063E1,-1.369500011E-1,1.081092697E1
8.881454900E-2,-6.079500318E-1,1.079295063E1,-9.900000691E-2,1.081051283E1
9.077635700E-2,-6.850500107E-1,1.079295063E1,1.500000060E-2,1.081467992E1
9.273816400E-2,-6.079500318E-1,1.087005043E1,-2.205000073E-2,1.088706048E1
9.469983800E-2,-7.999500632E-1,1.075500011E1,-6.739500165E-1,1.080574644E1
9.666155100E-2,-7.620000243E-1,1.083105087E1,-7.890000343E-1,1.088645158E1
9.862220700E-2,-5.320500135E-1,1.090800095E1,1.300500035E-1,1.092174322E1
1.005831700E-1,-6.469500065E-1,1.102305031E1,3.979500234E-1,1.104918760E1
1.025451670E-1,-6.850500107E-1,1.129095078E1,5.899500251E-1,1.132708718E1
1.045068610E-1,-5.320500135E-1,1.144395065E1,1.050000072E0,1.150432892E1
1.064686880E-1,-4.930500090E-1,1.163595009E1,1.011000037E0,1.169019050E1
1.084304760E-1,-5.700000525E-1,1.178895092E1,8.580000401E-1,1.183386783E1
1.103921840E-1,-4.930500090E-1,1.186605072E1,6.280500293E-1,1.189288463E1
1.123539260E-1,-4.170000255E-1,1.198095036E1,5.130000114E-1,1.199917620E1
1.143161040E-1,-3.780000210E-1,1.209600067E1,5.899500251E-1,1.211627654E1
1.162781550E-1,-4.170000255E-1,1.217295074E1,5.899500251E-1,1.219437001E1
1.182399670E-1,-2.629500031E-1,1.221105099E1,7.429500222E-1,1.223645715E1
1.202018490E-1,-2.250000089E-1,1.221105099E1,7.810500264E-1,1.223807298E1
1.221635480E-1,-1.870500147E-1,1.224900055E1,9.349500537E-1,1.228605444E1
1.241253050E-1,-1.480500102E-1,1.224900055E1,9.349500537E-1,1.228552257E1
1.260869860E-1,-3.299999982E-2,1.217295074E1,1.011000037E0,1.221490646E1
1.280486900E-1,8.100000024E-2,1.217295074E1,9.730500579E-1,1.221204804E1
1.300103350E-1,1.189500093E-1,1.201905060E1,1.087950110E0,1.206877632E1
1.319719980E-1,2.340000123E-1,1.190400028E1,1.011000037E0,1.194914640E1
1.339337050E-1,2.719500065E-1,1.175100040E1,1.050000072E0,1.180095197E1
1.358954230E-1,3.870000243E-1,1.163595009E1,1.087950110E0,1.169310647E1
1.378569320E-1,4.260000288E-1,1.148295021E1,1.126049995E0,1.154589148E1
1.398185020E-1,4.639500082E-1,1.121400070E1,1.087950110E0,1.127620046E1
1.417811150E-1,5.790000558E-1,1.098495007E1,1.126049995E0,1.105768319E1
1.437434230E-1,6.169500351E-1,1.075500011E1,1.126049995E0,1.083137311E1
1.457054270E-1,6.169500351E-1,1.048605061E1,1.126049995E0,1.056436809E1
1.476671940E-1,6.550500393E-1,1.029495049E1,1.126049995E0,1.037704605E1
1.496290980E-1,7.320000529E-1,1.002600002E1,1.126049995E0,1.011555679E1
1.515909610E-1,7.320000529E-1,9.835050583E0,1.126049995E0,9.926330270E0
1.535528060E-1,6.940500140E-1,9.565950394E0,1.126049995E0,9.656971624E0
1.555146560E-1,7.699500322E-1,9.298050880E0,1.165050030E0,9.402335603E0
1.574764920E-1,8.470500112E-1,9.145050049E0,1.165050030E0,9.257795401E0
1.594383390E-1,8.470500112E-1,8.953050613E0,1.087950110E0,9.058600579E0
1.614001850E-1,8.850000501E-1,8.761950493E0,1.165050030E0,8.883261963E0
1.633620310E-1,8.470500112E-1,8.569950104E0,1.165050030E0,8.690159957E0
1.653236520E-1,8.850000501E-1,8.377950668E0,1.126049995E0,8.499486519E0
1.672853390E-1,9.619500637E-1,8.263050079E0,1.050000072E0,8.384858060E0
1.692468530E-1,8.850000501E-1,8.148000717E0,1.011000037E0,8.258042253E0
1.712084490E-1,8.850000501E-1,7.995000362E0,9.349500537E-1,8.097986632E0
1.731702920E-1,8.850000501E-1,7.879950523E0,8.959500194E-1,7.979948106E0
1.751320620E-1,9.240000248E-1,7.803000450E0,8.200500607E-1,7.900194565E0
1.770937420E-1,9.240000248E-1,7.726950169E0,7.810500264E-1,7.821098011E0
1.790554490E-1,9.619500637E-1,7.612050533E0,7.810500264E-1,7.712243538E0
1.810170040E-1,9.240000248E-1,7.612050533E0,7.050000429E-1,7.700267166E0
1.829786030E-1,9.619500637E-1,7.573050499E0,7.429500222E-1,7.669968482E0
1.849402650E-1,9.619500637E-1,7.573050499E0,7.429500222E-1,7.669968482E0
1.869019080E-1,1.000050068E0,7.573050499E0,7.429500222E-1,7.674839981E0
1.888632940E-1,9.240000248E-1,7.573050499E0,7.810500264E-1,7.669087889E0
1.908247560E-1,8.850000501E-1,7.612050533E0,6.660000086E-1,7.692209983E0
1.927864280E-1,8.850000501E-1,7.612050533E0,6.660000086E-1,7.692209983E0
1.947480480E-1,8.850000501E-1,7.612050533E0,7.050000429E-1,7.695684730E0
1.967092580E-1,8.470500112E-1,7.650000572E0,6.660000086E-1,7.725513477E0
1.986705890E-1,8.089500666E-1,7.765050411E0,7.050000429E-1,7.838841315E0
2.006322970E-1,7.699500322E-1,7.803000450E0,7.429500222E-1,7.876015097E0
2.025938940E-1,7.699500322E-1,7.842000484E0,7.429500222E-1,7.914655355E0
2.045552980E-1,7.320000529E-1,7.957050323E0,7.810500264E-1,8.028730477E0
2.065167520E-1,6.550500393E-1,7.995000362E0,8.959500194E-1,8.071669455E0
2.084779000E-1,6.940500140E-1,8.110050201E0,9.730500579E-1,8.197648816E0
2.104391370E-1,6.940500140E-1,8.110050201E0,1.126049995E0,8.217214144E0
2.124007260E-1,6.940500140E-1,8.263050079E0,1.126049995E0,8.368254933E0
2.143622120E-1,6.169500351E-1,8.416950226E0,1.203000069E0,8.524839448E0
2.163236250E-1,6.169500351E-1,8.493000031E0,1.203000069E0,8.599935234E0
2.182850600E-1,5.790000558E-1,8.532000542E0,1.318050027E0,8.652602509E0
2.202457150E-1,5.790000558E-1,8.685000420E0,1.318050027E0,8.803506644E0
2.222065990E-1,5.790000558E-1,8.722949982E0,1.356000066E0,8.846684895E0
2.241682040E-1,5.790000558E-1,8.877000809E0,1.432950020E0,9.010534400E0
2.261295970E-1,5.020500422E-1,8.953050613E0,1.471050024E0,9.086977369E0
2.280912250E-1,5.790000558E-1,9.030000687E0,1.471050024E0,9.167341034E0
2.300527700E-1,5.790000558E-1,9.106050491E0,1.471050024E0,9.242260805E0
2.320148030E-1,5.790000558E-1,9.220950127E0,1.471050024E0,9.355487720E0
2.339766930E-1,6.169500351E-1,9.220950127E0,1.471050024E0,9.357913056E0
2.359373160E-1,5.410500169E-1,9.336000443E0,1.585950017E0,9.485192504E0
2.378983100E-1,5.790000558E-1,9.375000000E0,1.585950017E0,9.525812486E0
2.398606760E-1,6.550500393E-1,9.375000000E0,1.624950051E0,9.537304558E0
2.418226300E-1,6.550500393E-1,9.375000000E0,1.624950051E0,9.537304558E0
2.437840530E-1,6.940500140E-1,9.375000000E0,1.548000097E0,9.527257461E0
2.457456320E-1,6.550500393E-1,9.375000000E0,1.548000097E0,9.524495780E0
2.477070280E-1,6.550500393E-1,9.412950516E0,1.624950051E0,9.574611775E0
2.496684780E-1,6.169500351E-1,9.375000000E0,1.548000097E0,9.521951305E0
2.516299850E-1,5.410500169E-1,9.375000000E0,1.548000097E0,9.517334943E0
2.535914760E-1,5.790000558E-1,9.375000000E0,1.548000097E0,9.519567761E0
2.555525280E-1,5.410500169E-1,9.412950516E0,1.548000097E0,9.554720134E0
2.575137090E-1,5.410500169E-1,9.451050758E0,1.510050058E0,9.586206066E0
2.594751270E-1,5.410500169E-1,9.451050758E0,1.471050024E0,9.580140068E0
2.614364760E-1,5.020500422E-1,9.451050758E0,1.471050024E0,9.578016645E0
2.633975260E-1,5.020500422E-1,9.451050758E0,1.510050058E0,9.584083987E0
2.653586510E-1,4.260000288E-1,9.490050316E0,1.510050058E0,9.618876348E0
2.673198530E-1,3.870000243E-1,9.528000832E0,1.510050058E0,9.654678661E0
2.692810330E-1,4.260000288E-1,9.490050316E0,1.471050024E0,9.612830967E0
2.712421390E-1,4.260000288E-1,9.451050758E0,1.471050024E0,9.574331550E0
2.732032660E-1,4.260000288E-1,9.490050316E0,1.471050024E0,9.612830967E0
2.751644640E-1,4.260000288E-1,9.451050758E0,1.471050024E0,9.574331550E0
2.771256440E-1,4.260000288E-1,9.412950516E0,1.471050024E0,9.536723840E0
2.790868830E-1,4.639500082E-1,9.490050316E0,1.510050058E0,9.620631777E0
2.810481050E-1,5.020500422E-1,9.451050758E0,1.471050024E0,9.578016645E0
2.830095630E-1,5.020500422E-1,9.528000832E0,1.471050024E0,9.653954747E0
2.849709520E-1,4.639500082E-1,9.490050316E0,1.471050024E0,9.614587499E0
2.869326920E-1,4.639500082E-1,9.565950394E0,1.471050024E0,9.689512099E0
2.888943320E-1,5.410500169E-1,9.604950905E0,1.471050024E0,9.731999033E0
2.908559880E-1,4.639500082E-1,9.528000832E0,1.471050024E0,9.652048364E0
2.928176400E-1,2.340000123E-1,9.451050758E0,1.395000100E0,9.556314233E0
2.947790250E-1,3.490500152E-1,9.720000267E0,1.395000100E0,9.825795967E0
2.967404880E-1,4.639500082E-1,9.757950783E0,1.510050058E0,9.884993893E0
2.987027680E-1,6.169500351E-1,9.720000267E0,1.432950020E0,9.844408479E0
3.006648030E-1,6.550500393E-1,9.835050583E0,1.395000100E0,9.955065836E0
3.026263920E-1,7.320000529E-1,9.835050583E0,1.395000100E0,9.960425158E0
3.045881120E-1,6.940500140E-1,9.873000145E0,1.318050027E0,9.984743019E0
3.065494850E-1,7.320000529E-1,9.835050583E0,1.240950108E0,9.940020182E0
3.085109590E-1,7.320000529E-1,9.910950661E0,1.240950108E0,1.001512477E1
3.104728420E-1,6.940500140E-1,9.910950661E0,1.203000069E0,1.000778985E1
3.124345910E-1,7.320000529E-1,9.988050461E0,1.126049995E0,1.007794447E1
3.143961400E-1,6.940500140E-1,9.949950218E0,1.087950110E0,1.003328711E1
3.163577470E-1,6.940500140E-1,9.910950661E0,1.011000037E0,9.986529402E0
3.183194080E-1,7.320000529E-1,9.873000145E0,9.349500537E-1,9.944148407E0
3.202810530E-1,7.699500322E-1,9.873000145E0,9.349500537E-1,9.947013950E0
3.222426080E-1,7.699500322E-1,9.796050072E0,9.349500537E-1,9.870640894E0
3.242041650E-1,7.320000529E-1,9.796050072E0,8.580000401E-1,9.860759867E0
3.261658800E-1,6.550500393E-1,9.835050583E0,8.580000401E-1,9.894113128E0
3.281275480E-1,6.169500351E-1,9.796050072E0,8.200500607E-1,9.849655144E0
3.300883440E-1,5.790000558E-1,9.835050583E0,7.810500264E-1,9.882990447E0
3.320493960E-1,5.020500422E-1,9.796050072E0,7.050000429E-1,9.834209491E0
3.340110810E-1,5.020500422E-1,9.796050072E0,7.050000429E-1,9.834209491E0
3.359725670E-1,4.639500082E-1,9.796050072E0,7.810500264E-1,9.838083439E0
3.379341150E-1,5.020500422E-1,9.835050583E0,7.429500222E-1,9.875841683E0
