"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.094698900E-2,-1.987950087E0,9.796050072E0,1.930950046E0,1.018052605E1
3.290495300E-2,-1.950000048E0,9.873000145E0,1.930950046E0,1.024730209E1
3.486583500E-2,-1.950000048E0,9.949950218E0,1.893000126E0,1.031442965E1
3.682509800E-2,-2.026050091E0,9.949950218E0,1.816050053E0,1.031525211E1
3.878483500E-2,-2.410050154E0,9.988050461E0,1.663050056E0,1.040842107E1
4.074419900E-2,-2.179949999E0,9.988050461E0,1.816050053E0,1.038322550E1
4.270367600E-2,-1.987950087E0,9.988050461E0,1.777950048E0,1.033799806E1
4.466340400E-2,-1.795950055E0,9.910950661E0,1.740000129E0,1.022154490E1
4.662305900E-2,-1.758000135E0,9.873000145E0,1.816050053E0,1.019140491E1
4.858275800E-2,-1.720050097E0,9.910950661E0,1.930950046E0,1.024275761E1
5.054244400E-2,-1.720050097E0,9.910950661E0,1.893000126E0,1.023567119E1
5.250205400E-2,-1.720050097E0,9.873000145E0,1.816050053E0,1.018492720E1
5.446171400E-2,-1.795950055E0,9.835050583E0,1.701000094E0,1.014135385E1
5.642123200E-2,-1.681950092E0,9.720000267E0,1.663050056E0,1.000365417E1
5.838079100E-2,-1.758000135E0,9.720000267E0,1.585950017E0,1.000420947E1
6.034032600E-2,-1.758000135E0,9.681000710E0,1.585950017E0,9.966322124E0
6.229986800E-2,-1.795950055E0,9.604950905E0,1.471050024E0,9.881523499E0
6.425945000E-2,-1.873050094E0,9.565950394E0,1.510050058E0,9.863872199E0
6.621902000E-2,-1.834950089E0,9.490050316E0,1.510050058E0,9.783064346E0
6.817868800E-2,-1.873050094E0,9.451050758E0,1.510050058E0,9.752483185E0
7.013832800E-2,-1.911000133E0,9.375000000E0,1.510050058E0,9.686216892E0
7.209785000E-2,-1.911000133E0,9.336000443E0,1.510050058E0,9.648475369E0
7.405740700E-2,-1.950000048E0,9.259950638E0,1.510050058E0,9.582767720E0
7.601712000E-2,-1.987950087E0,9.259950638E0,1.471050024E0,9.584498919E0
7.797678800E-2,-2.065050125E0,9.220950127E0,1.471050024E0,9.563176325E0
7.993630500E-2,-2.065050125E0,9.220950127E0,1.471050024E0,9.563176325E0
8.189586700E-2,-2.218050003E0,9.183000565E0,1.432950020E0,9.555134271E0
8.385540100E-2,-2.256000042E0,9.106050491E0,1.432950020E0,9.490154767E0
8.581494400E-2,-2.371050119E0,9.145050049E0,1.395000100E0,9.549860959E0
8.777432100E-2,-2.448000193E0,9.106050491E0,1.279950023E0,9.515835883E0
8.973373300E-2,-2.563050032E0,9.030000687E0,1.318050027E0,9.478786512E0
9.169347300E-2,-2.640000105E0,9.067950249E0,1.279950023E0,9.530770920E0
9.365311600E-2,-2.755050182E0,9.067950249E0,1.240950108E0,9.558136868E0
9.561263800E-2,-2.677950144E0,8.991000175E0,1.356000066E0,9.478831009E0
9.757219500E-2,-2.869950056E0,8.953050613E0,1.279950023E0,9.488519414E0
9.953174400E-2,-2.985000134E0,8.953050613E0,1.087950110E0,9.500051396E0
1.014913170E-1,-3.100050211E0,8.953050613E0,1.087950110E0,9.536826623E0
1.034510300E-1,-3.214950085E0,8.953050613E0,1.087950110E0,9.574792675E0
1.054107020E-1,-3.175950050E0,8.914950371E0,1.126049995E0,9.530529231E0
1.073701740E-1,-3.330000162E0,8.914950371E0,1.050000072E0,9.574327201E0
1.093297040E-1,-3.330000162E0,8.838000298E0,1.050000072E0,9.502718058E0
1.112896480E-1,-3.445050240E0,8.838000298E0,1.050000072E0,9.543642940E0
