"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.611934900E-2,-9.150000215E-1,1.002600002E1,1.432950020E0,1.016913208E1
3.807956000E-2,-7.999500632E-1,9.988050461E0,1.432950020E0,1.012197697E1
4.004242600E-2,-6.469500065E-1,9.910950661E0,1.395000100E0,1.002953202E1
4.200373700E-2,-4.930500090E-1,9.796050072E0,1.432950020E0,9.912569852E0
4.396550300E-2,-4.170000255E-1,9.643050194E0,1.471050024E0,9.763518538E0
4.592687200E-2,-3.019500077E-1,9.604950905E0,1.395000100E0,9.710421256E0
4.788835400E-2,-1.870500147E-1,9.451050758E0,1.471050024E0,9.566678437E0
4.984985600E-2,-7.200000435E-2,9.375000000E0,1.432950020E0,9.484152822E0
5.181135200E-2,4.050000105E-3,9.298050880E0,1.510050058E0,9.419873553E0
5.377294300E-2,8.100000024E-2,9.183000565E0,1.471050024E0,9.300432707E0
5.573450600E-2,1.570500135E-1,9.030000687E0,1.471050024E0,9.150386073E0
5.769599600E-2,2.719500065E-1,8.914950371E0,1.471050024E0,9.039595405E0
5.965750800E-2,3.490500152E-1,8.761950493E0,1.432950020E0,8.885210077E0
6.161891600E-2,2.719500065E-1,8.569950104E0,1.432950020E0,8.693178207E0
6.358035400E-2,3.870000243E-1,8.493000031E0,1.356000066E0,8.609271439E0
6.554244900E-2,4.260000288E-1,8.377950668E0,1.395000100E0,8.503973113E0
6.750435200E-2,5.790000558E-1,8.187000275E0,1.356000066E0,8.318710882E0
6.946598900E-2,6.940500140E-1,8.148000717E0,1.432950020E0,8.302106171E0
7.142771900E-2,6.940500140E-1,7.995000362E0,1.510050058E0,8.165903955E0
7.338922400E-2,8.089500666E-1,7.918050289E0,1.510050058E0,8.101245075E0
7.535079500E-2,7.699500322E-1,7.879950523E0,1.624950051E0,8.082506169E0
7.731228300E-2,7.699500322E-1,7.842000484E0,1.548000097E0,8.030323714E0
7.927379600E-2,7.320000529E-1,7.842000484E0,1.624950051E0,8.041968562E0
8.123461300E-2,7.320000529E-1,7.803000450E0,1.624950051E0,8.003942952E0
8.319563700E-2,5.410500169E-1,7.803000450E0,1.663050056E0,7.996579683E0
8.515726300E-2,4.639500082E-1,7.803000450E0,1.740000129E0,8.008100030E0
8.711871200E-2,3.490500152E-1,7.842000484E0,1.816050053E0,8.057099063E0
8.908013200E-2,3.109500110E-1,7.842000484E0,1.777950048E0,8.047034726E0
9.104156000E-2,2.340000123E-1,7.842000484E0,1.777950048E0,8.044428754E0
9.300307100E-2,1.960500032E-1,7.803000450E0,1.777950048E0,8.005395556E0
9.496455800E-2,1.570500135E-1,7.803000450E0,1.663050056E0,7.979800512E0
9.692610500E-2,1.570500135E-1,7.765050411E0,1.701000094E0,7.950727886E0
9.888763500E-2,-7.200000435E-2,7.842000484E0,1.663050056E0,8.016725709E0
1.008491750E-1,-1.099500060E-1,7.842000484E0,1.701000094E0,8.025114449E0
1.028107120E-1,-3.299999982E-2,7.842000484E0,1.624950051E0,8.008653025E0
1.047720740E-1,-3.299999982E-2,7.918050289E0,1.624950051E0,8.083135039E0
1.067335170E-1,-7.200000435E-2,7.918050289E0,1.701000094E0,8.099018811E0
1.086952060E-1,-1.099500060E-1,8.032950401E0,1.740000129E0,8.219974550E0
1.106568230E-1,-2.250000089E-1,8.032950401E0,1.893000126E0,8.256050305E0
1.126182140E-1,-2.629500031E-1,8.187000275E0,1.930950046E0,8.415740269E0
1.145796710E-1,-3.019500077E-1,8.224950790E0,2.008050203E0,8.471909757E0
1.165410140E-1,-3.780000210E-1,8.377950668E0,2.008050203E0,8.623526369E0
1.185024110E-1,-4.549500346E-1,8.455050468E0,2.008050203E0,8.702133277E0
1.204642880E-1,-4.549500346E-1,8.532000542E0,2.046000004E0,8.785677481E0
1.224260240E-1,-5.320500135E-1,8.608050346E0,2.085000038E0,8.872926977E0
1.243875750E-1,-6.469500065E-1,8.761950493E0,2.046000004E0,9.020888912E0
1.263491800E-1,-6.469500065E-1,8.877000809E0,2.085000038E0,9.141494015E0
1.283108860E-1,-6.850500107E-1,8.953050613E0,2.046000004E0,9.209371576E0
1.302725630E-1,-7.620000243E-1,9.067950249E0,2.046000004E0,9.327083240E0
1.322342580E-1,-7.620000243E-1,9.183000565E0,2.046000004E0,9.438975549E0
1.341959470E-1,-7.620000243E-1,9.259950638E0,2.085000038E0,9.522318783E0
1.361578210E-1,-7.999500632E-1,9.336000443E0,2.200050116E0,9.625021812E0
1.381196400E-1,-8.380500674E-1,9.451050758E0,2.085000038E0,9.714520756E0
1.400810370E-1,-8.380500674E-1,9.528000832E0,2.008050203E0,9.773300025E0
1.420425930E-1,-9.150000215E-1,9.604950905E0,2.085000038E0,9.871146442E0
1.440041730E-1,-8.770500422E-1,9.720000267E0,2.122950077E0,9.987719409E0
1.459657450E-1,-9.150000215E-1,9.720000267E0,2.085000038E0,9.983128537E0
1.479274130E-1,-1.030050039E0,9.412950516E0,5.899500251E-1,9.487501332E0
1.498890520E-1,-9.150000215E-1,9.835050583E0,9.730500579E-1,9.925334827E0
1.518504540E-1,-8.770500422E-1,9.873000145E0,2.200050116E0,1.015310638E1
1.538119150E-1,-9.529500604E-1,9.796050072E0,2.008050203E0,1.004504736E1
1.557734660E-1,-9.150000215E-1,9.988050461E0,2.430000067E0,1.032004251E1
1.577349900E-1,-8.770500422E-1,1.002600002E1,3.004050255E0,1.050305723E1
1.596964870E-1,-8.770500422E-1,9.988050461E0,3.043050051E0,1.047809727E1
