"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.332148900E-2,3.109500110E-1,3.856050253E0,9.098999977E0,9.887245018E0
3.528314900E-2,3.490500152E-1,3.817050219E0,9.098999977E0,9.873373733E0
3.724733600E-2,3.490500152E-1,3.817050219E0,9.060000420E0,9.837444581E0
3.920999700E-2,3.490500152E-1,3.817050219E0,9.098999977E0,9.873373733E0
4.117310500E-2,3.490500152E-1,3.894000292E0,9.060000420E0,9.867557032E0
4.313579100E-2,3.490500152E-1,3.856050253E0,9.136950493E0,9.923448180E0
4.509861800E-2,3.870000243E-1,3.856050253E0,9.060000420E0,9.854060086E0
4.706142300E-2,3.109500110E-1,3.856050253E0,9.060000420E0,9.851366457E0
4.902423400E-2,3.109500110E-1,3.817050219E0,9.022050858E0,9.801222575E0
5.098717500E-2,3.490500152E-1,3.856050253E0,9.060000420E0,9.852642644E0
5.295007800E-2,3.490500152E-1,3.856050253E0,9.060000420E0,9.852642644E0
5.491279100E-2,3.109500110E-1,3.817050219E0,9.060000420E0,9.836166422E0
5.687558400E-2,3.109500110E-1,3.856050253E0,9.060000420E0,9.851366457E0
5.883834900E-2,3.870000243E-1,3.894000292E0,9.098999977E0,9.904787119E0
6.080112300E-2,3.490500152E-1,3.817050219E0,9.060000420E0,9.837444581E0
6.276384600E-2,3.490500152E-1,3.856050253E0,9.060000420E0,9.852642644E0
6.472658400E-2,3.870000243E-1,3.894000292E0,9.098999977E0,9.904787119E0
6.668929600E-2,3.490500152E-1,3.817050219E0,9.136950493E0,9.908358723E0
6.865205900E-2,3.870000243E-1,3.817050219E0,9.098999977E0,9.874788199E0
7.061487400E-2,3.870000243E-1,3.856050253E0,9.136950493E0,9.924855509E0
7.257767400E-2,3.490500152E-1,3.856050253E0,9.136950493E0,9.923448180E0
7.454057300E-2,3.870000243E-1,3.778950214E0,9.175050735E0,9.930346909E0
7.650344300E-2,4.260000288E-1,3.856050253E0,9.175050735E0,9.961533796E0
7.846616100E-2,3.870000243E-1,3.856050253E0,9.214050293E0,9.995879920E0
8.042894900E-2,3.870000243E-1,3.856050253E0,9.175050735E0,9.959942197E0
8.239158000E-2,3.490500152E-1,3.856050253E0,9.098999977E0,9.888516575E0
8.435425700E-2,3.870000243E-1,3.817050219E0,9.175050735E0,9.944908114E0
8.631722100E-2,3.870000243E-1,3.817050219E0,9.214050293E0,9.980899969E0
8.828010100E-2,3.870000243E-1,3.778950214E0,9.214050293E0,9.966391350E0
9.024278800E-2,3.870000243E-1,3.817050219E0,9.214050293E0,9.980899969E0
9.220554500E-2,3.870000243E-1,3.856050253E0,9.252000809E0,1.003087292E1
9.416836100E-2,3.870000243E-1,3.856050253E0,9.252000809E0,1.003087292E1
9.613115900E-2,3.490500152E-1,3.856050253E0,9.252000809E0,1.002948047E1
9.809374400E-2,3.490500152E-1,3.817050219E0,9.252000809E0,1.001455078E1
1.000563910E-1,3.490500152E-1,3.778950214E0,9.289950371E0,1.003521193E1
1.020194760E-1,3.490500152E-1,3.856050253E0,9.289950371E0,1.006449886E1
1.039824460E-1,3.490500152E-1,3.817050219E0,9.252000809E0,1.001455078E1
1.059455870E-1,3.490500152E-1,3.817050219E0,9.289950371E0,1.004962120E1
1.079086770E-1,3.870000243E-1,3.778950214E0,9.289950371E0,1.003660359E1
1.098715720E-1,3.490500152E-1,3.817050219E0,9.289950371E0,1.004962120E1
1.118345250E-1,3.870000243E-1,3.817050219E0,9.289950371E0,1.005101086E1
1.137973900E-1,3.490500152E-1,3.817050219E0,9.289950371E0,1.004962120E1
1.157603190E-1,3.490500152E-1,3.778950214E0,9.328050613E0,1.007049298E1
1.177232410E-1,3.870000243E-1,3.817050219E0,9.289950371E0,1.005101086E1
1.196861650E-1,4.260000288E-1,3.778950214E0,9.328050613E0,1.007345368E1
1.216490430E-1,3.870000243E-1,3.778950214E0,9.289950371E0,1.003660359E1
1.236119340E-1,4.260000288E-1,3.817050219E0,9.289950371E0,1.005258804E1
1.255748130E-1,4.260000288E-1,3.778950214E0,9.289950371E0,1.003818303E1
1.275377300E-1,4.260000288E-1,3.778950214E0,9.252000809E0,1.000307251E1
1.295005200E-1,3.870000243E-1,3.778950214E0,9.252000809E0,1.000148752E1
1.314633470E-1,3.870000243E-1,3.817050219E0,9.252000809E0,1.001594531E1
1.334262860E-1,3.490500152E-1,3.778950214E0,9.252000809E0,1.000009098E1
1.353891920E-1,3.490500152E-1,3.778950214E0,9.252000809E0,1.000009098E1
1.373522630E-1,3.870000243E-1,3.778950214E0,9.214050293E0,9.966391350E0
1.393152790E-1,4.260000288E-1,3.817050219E0,9.175050735E0,9.946502119E0
