"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.980719500E-2,-1.489950061E0,2.919000053E1,2.583000183E0,2.934191494E1
4.176894200E-2,-1.605000019E0,2.892195129E1,2.620950222E0,2.908478420E1
4.373327200E-2,-1.605000019E0,2.869200134E1,2.812950134E0,2.887420396E1
4.569595300E-2,-1.528050065E0,2.827005196E1,2.928000212E0,2.846232527E1
4.765911800E-2,-1.375050068E0,2.769495201E1,2.965950251E0,2.788723705E1
4.962200000E-2,-1.297950029E0,2.754195213E1,3.004050255E0,2.773568314E1
5.158496500E-2,-1.375050068E0,2.712000084E1,2.889000177E0,2.730808544E1
5.354792600E-2,-1.567050099E0,2.712000084E1,2.659050226E0,2.729506621E1
5.551088800E-2,-1.528050065E0,2.681400108E1,2.659050226E0,2.698881508E1
5.747375900E-2,-1.452000022E0,2.627700043E1,2.698050022E0,2.645502843E1
5.943665700E-2,-1.183050036E0,2.612400055E1,2.200050116E0,2.624315592E1
6.139995100E-2,-9.919500351E-1,2.581695175E1,1.893000126E0,2.590525839E1
6.336315500E-2,-7.999500632E-1,2.574105072E1,1.395000100E0,2.579123180E1
6.532688600E-2,-4.930500090E-1,2.551095200E1,7.810500264E-1,2.552766752E1
6.729046300E-2,-1.480500102E-1,2.520405197E1,-1.369500011E-1,2.520485885E1
6.925327500E-2,-3.400500119E-1,2.470605087E1,-1.287000060E0,2.474188661E1
7.121631100E-2,-3.780000210E-1,2.416905022E1,-2.092050076E0,2.426236893E1
7.317936900E-2,-7.230000496E-1,2.378595161E1,-2.629050016E0,2.394172356E1
7.514243800E-2,-6.469500065E-1,2.313405037E1,-2.743950129E0,2.330519455E1
7.710551600E-2,-4.930500090E-1,2.236800194E1,-2.437050104E0,2.250577309E1
7.906859200E-2,-2.250000089E-1,2.160105133E1,-1.824000120E0,2.167909177E1
8.103184900E-2,-1.480500102E-1,2.071995163E1,-1.096050024E0,2.074944915E1
8.299505300E-2,-3.019500077E-1,1.987695122E1,-2.910000086E-1,1.988137431E1
8.495753100E-2,-1.099500060E-1,1.899495125E1,4.750500321E-1,1.900120876E1
8.692024800E-2,1.960500032E-1,1.819005013E1,1.318050027E0,1.823879423E1
8.888356600E-2,3.490500152E-1,1.730895042E1,1.777950048E0,1.740352571E1
9.084670800E-2,4.260000288E-1,1.642695045E1,2.314950228E0,1.659473326E1
9.281036000E-2,5.410500169E-1,1.554600048E1,2.773950100E0,1.580081217E1
9.477386200E-2,6.940500140E-1,1.462605095E1,3.196050167E0,1.498725487E1
9.673696800E-2,9.240000248E-1,1.366695023E1,3.502950191E0,1.413895203E1
9.870021400E-2,1.230000019E0,1.270905018E1,3.808950186E0,1.332444963E1
1.006629470E-1,1.422000051E0,1.182795048E1,3.963000298E0,1.255499375E1
1.026258300E-1,1.614000082E0,1.098495007E1,4.000950336E0,1.180176799E1
1.045889390E-1,1.690050125E0,1.021800041E1,3.924000263E0,1.107526884E1
1.065519810E-1,1.996950150E0,9.451050758E0,3.847950220E0,1.039792726E1
1.085148710E-1,2.149950027E0,8.877000809E0,3.808950186E0,9.896036075E0
1.104778160E-1,2.265000105E0,8.302050591E0,3.733050108E0,9.380294910E0
1.124407350E-1,2.304000139E0,7.765050411E0,3.618000269E0,8.870983625E0
1.144036620E-1,2.341950178E0,7.228050232E0,3.426000118E0,8.334681614E0
1.163665840E-1,2.380050182E0,6.615000248E0,3.196050167E0,7.722538690E0
1.183295080E-1,2.380050182E0,6.193950176E0,3.081000090E0,7.315888135E0
1.202924110E-1,2.494950056E0,5.656950474E0,2.965950251E0,6.857311815E0
1.222553340E-1,2.533950090E0,5.158950329E0,3.004050255E0,6.485367337E0
1.242185720E-1,2.649000168E0,4.699050426E0,2.928000212E0,6.137708207E0
