"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.268799800E-2,5.791050434E0,-2.199000120E0,-7.458000183E0,9.695031376E0
3.464938400E-2,5.638050079E0,-2.122950077E0,-6.805950165E0,9.089305990E0
3.661346000E-2,5.599950314E0,-2.083950043E0,-5.848050117E0,8.360740486E0
3.857587000E-2,5.560950279E0,-2.083950043E0,-4.852050304E0,7.668729226E0
4.053876800E-2,5.446050167E0,-1.969050050E0,-3.778950214E0,6.914989895E0
4.250168400E-2,5.293050289E0,-1.816050053E0,-2.782050133E0,6.249337733E0
4.446460200E-2,5.140050411E0,-1.663050056E0,-1.900950074E0,5.727081709E0
4.642730100E-2,4.948050022E0,-1.585950017E0,-1.363950014E0,5.372038358E0
4.839006500E-2,4.795050144E0,-1.432950020E0,-1.018950105E0,5.107260612E0
5.035265500E-2,4.603050232E0,-1.318050027E0,-7.120500207E-1,4.840696494E0
5.231529600E-2,4.411950111E0,-1.164000034E0,-2.520000041E-1,4.569869130E0
5.427737700E-2,4.219950199E0,-9.340500236E-1,5.295000225E-2,4.322410535E0
5.623964700E-2,3.913050175E0,-7.039500475E-1,3.600000143E-1,3.992130678E0
5.820178000E-2,3.300000191E0,-3.589500189E-1,6.660000086E-1,3.385616988E0
6.016395400E-2,2.457000017E0,-1.500000060E-2,9.730500579E-1,2.642707040E0
6.212682500E-2,1.767000079E0,2.910000086E-1,1.050000072E0,2.075926404E0
6.408949100E-2,1.192050099E0,6.739500165E-1,8.200500607E-1,1.596143529E0
6.605240800E-2,5.790000558E-1,9.040500522E-1,2.070000172E-1,1.093341927E0
6.801525500E-2,4.050000105E-3,1.018950105E0,-6.739500165E-1,1.221672764E0
6.997801200E-2,-5.320500135E-1,1.057950020E0,-1.516950130E0,1.924440999E0
7.194079600E-2,-7.999500632E-1,8.280000687E-1,-2.169000149E0,2.455619242E0
7.390414700E-2,-9.529500604E-1,3.679500222E-1,-2.667000055E0,2.855939483E0
7.586733200E-2,-1.030050039E0,-1.290000081E-1,-3.165000200E0,3.330896329E0
7.783039200E-2,-8.380500674E-1,-6.280500293E-1,-3.702000141E0,3.847282132E0
7.979348800E-2,-5.700000525E-1,-1.548000097E0,-4.353000164E0,4.655084832E0
8.175602100E-2,-1.099500060E-1,-2.351999998E0,-5.043000221E0,5.565594688E0
8.371871900E-2,4.639500082E-1,-3.234000206E0,-5.542050362E0,6.433376186E0
8.568222000E-2,1.000050068E0,-3.961950302E0,-5.809950352E0,7.103004535E0
8.764548600E-2,1.384050012E0,-4.537050247E0,-6.154950142E0,7.770703355E0
8.960828100E-2,1.575000048E0,-5.074050426E0,-6.883050442E0,8.694998348E0
9.157123200E-2,1.614000082E0,-5.533950329E0,-7.420050144E0,9.396102737E0
9.353397000E-2,1.422000051E0,-5.955000401E0,-7.189950466E0,9.443489907E0
9.549677100E-2,1.306950092E0,-6.223950386E0,-5.617950439E0,8.485696441E0
9.745921900E-2,1.306950092E0,-6.184950352E0,-3.088950157E0,7.035861175E0
9.942177100E-2,1.269000053E0,-6.184950352E0,-4.060500264E-1,6.326835592E0
1.013838650E-1,1.192050099E0,-5.955000401E0,2.161050081E0,6.446173335E0
1.033460870E-1,1.153950095E0,-5.764050484E0,4.153950214E0,7.197998415E0
1.053085440E-1,1.114950061E0,-5.686950207E0,5.419050217E0,7.934142773E0
1.072709320E-1,1.077000022E0,-5.572050095E0,5.956050396E0,8.226919692E0
1.092334060E-1,1.000050068E0,-5.419050217E0,6.262050152E0,8.341431382E0
1.111958550E-1,7.320000529E-1,-5.649000168E0,6.070950508E0,8.324870392E0
1.131574490E-1,1.189500093E-1,-6.568950176E0,6.223950386E0,9.050017344E0
1.151193040E-1,-1.528050065E0,-8.638050079E0,6.607050419E0,1.098198349E1
1.170818680E-1,-4.441050053E0,-1.135905075E1,7.105050564E0,1.411498151E1
1.190442250E-1,-8.044050217E0,-1.415700054E1,6.913950443E0,1.768983095E1
1.210070200E-1,-1.264305019E1,-1.741500092E1,6.991050243E0,2.262750005E1
1.229696870E-1,-1.701300049E1,-2.078805161E1,9.289950371E0,2.842337864E1
1.249320900E-1,-2.065395164E1,-2.519595146E1,1.082295036E1,3.433013171E1
1.268945880E-1,-2.398800087E1,-3.063795090E1,1.090005016E1,4.040939636E1
1.288572680E-1,-2.647905159E1,-3.715395355E1,1.270095062E1,4.735895464E1
1.308198940E-1,-2.820405197E1,-4.297995377E1,1.277805042E1,5.297191280E1
1.327824630E-1,-2.793600082E1,-4.876695251E1,1.285500050E1,5.765315982E1
1.347450490E-1,-2.609595108E1,-5.520600128E1,1.342995071E1,6.252251448E1
1.367076530E-1,-2.257005119E1,-6.114705276E1,1.461795044E1,6.679860588E1
1.386702630E-1,-1.793205070E1,-6.651300049E1,1.480905056E1,7.046166089E1
1.406331050E-1,-1.118700027E1,-7.076700592E1,1.354500103E1,7.291491723E1
1.425958790E-1,-3.865950108E0,-7.494495392E1,8.638950348E0,7.554020884E1
1.445600890E-1,5.485050201E0,-7.850895691E1,-9.834000587E0,7.931235502E1
1.465238790E-1,1.476000023E1,-7.850895691E1,-2.543400192E1,8.383556748E1
1.484865800E-1,2.116095161E1,-7.850895691E1,-3.340605164E1,8.790566804E1
1.504496210E-1,2.599005127E1,-7.850895691E1,-3.766005325E1,9.087034000E1
1.524128830E-1,2.867295074E1,-7.850895691E1,-3.263895035E1,8.972789700E1
1.543760800E-1,2.924805069E1,-7.831800079E1,-2.298105049E1,8.670228601E1
1.563387770E-1,2.702505112E1,-7.145700073E1,-1.339905071E1,7.756281907E1
1.583016210E-1,2.165895081E1,-6.072495270E1,-5.580000401E0,6.471295415E1
1.602642230E-1,1.399305058E1,-5.125905228E1,-2.053950071E0,5.317437932E1
1.622269100E-1,6.634950161E0,-4.382295227E1,-8.659500480E-1,4.433084230E1
1.641887470E-1,1.384050012E0,-3.826500320E1,-2.140500098E-1,3.829062394E1
1.661508330E-1,-1.987950087E0,-3.408795166E1,-9.900000691E-2,3.414601287E1
1.681135830E-1,-3.751050234E0,-3.113700104E1,-1.369500011E-1,3.136242922E1
1.700761380E-1,-4.518000126E0,-2.864505196E1,-2.205000073E-2,2.899916918E1
1.720389290E-1,-5.016000271E0,-2.634600067E1,-1.369500011E-1,2.681959667E1
1.740016620E-1,-5.476050377E0,-2.458200073E1,-5.970000029E-1,2.519163148E1
1.759640330E-1,-5.514000416E0,-2.339400101E1,-1.134000063E0,2.406178380E1
1.779265100E-1,-5.476050377E0,-2.255100060E1,-1.861950040E0,2.328092811E1
1.798895080E-1,-5.398950100E0,-2.190000153E1,-2.359950066E0,2.267880273E1
1.818523540E-1,-5.361000061E0,-2.143995094E1,-2.820000172E0,2.227923291E1
1.838151110E-1,-5.361000061E0,-2.105595016E1,-2.859000206E0,2.191500037E1
