"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.874081000E-2,1.384050012E0,-1.509000063E0,-8.659500480E-1,2.223183553E0
4.070260700E-2,1.345050097E0,-1.393950105E0,-8.659500480E-1,2.121821421E0
4.266696400E-2,1.345050097E0,-1.203000069E0,-7.510500550E-1,1.954595895E0
4.462950600E-2,1.384050012E0,-1.011000037E0,-4.819500148E-1,1.780446946E0
4.659257900E-2,1.422000051E0,-8.190000653E-1,-1.759500057E-1,1.650395000E0
4.855466300E-2,1.459950089E0,-5.130000114E-1,9.195000678E-2,1.550186466E0
5.051707000E-2,1.575000048E0,-2.059500068E-1,3.600000143E-1,1.628692901E0
5.247904500E-2,1.767000079E0,2.295000106E-2,7.050000429E-1,1.902587986E0
5.444114700E-2,1.959000111E0,4.440000355E-1,8.959500194E-1,2.199441725E0
5.640380400E-2,2.304000139E0,8.659500480E-1,9.730500579E-1,2.646717314E0
5.836629900E-2,2.725050211E0,1.288050056E0,1.011000037E0,3.179165405E0
6.032861600E-2,3.147000074E0,1.708950043E0,8.580000401E-1,3.682429060E0
6.229098800E-2,3.453000069E0,2.245950222E0,5.509500504E-1,4.155845020E0
6.425450000E-2,3.645000219E0,2.743950129E0,3.979500234E-1,4.579700113E0
6.621767800E-2,3.760050297E0,3.280950069E0,1.680000126E-1,4.993078769E0
6.818019800E-2,4.027950287E0,3.778950214E0,5.295000225E-2,5.523373239E0
7.014291100E-2,4.297049999E0,4.392000198E0,5.295000225E-2,6.144681289E0
7.210478000E-2,4.527000427E0,5.005050182E0,2.830500007E-1,6.754581963E0
7.406690200E-2,4.717950344E0,5.619000435E0,5.509500504E-1,7.357701224E0
7.602942100E-2,4.948050022E0,6.346950531E0,8.580000401E-1,8.093401271E0
7.799182300E-2,5.178000450E0,7.113000393E0,1.203000069E0,8.879959032E0
7.995488100E-2,5.293050289E0,7.995000362E0,1.585950017E0,9.718623854E0
8.191774600E-2,5.446050167E0,8.991000175E0,1.969950080E0,1.069477676E1
8.388060000E-2,5.485050201E0,1.021800041E1,2.506050110E0,1.186480490E1
8.584348100E-2,5.407950401E0,1.182795048E1,3.004050255E0,1.334805821E1
8.780627800E-2,5.140050411E0,1.382100105E1,3.463950157E0,1.514724856E1
8.976909900E-2,4.717950344E0,1.627395058E1,3.733050108E0,1.735039440E1
9.173203800E-2,4.219950199E0,1.884195137E1,4.000950336E0,1.971889233E1
9.369494300E-2,3.721950293E0,2.164005089E1,4.078050137E0,2.233327583E1
9.565798700E-2,3.070050240E0,2.505105209E1,4.078050137E0,2.556581531E1
9.762103400E-2,2.035050154E0,2.896005058E1,3.694050074E0,2.926554228E1
9.958375600E-2,1.345050097E0,3.233295059E1,3.081000090E0,3.250725173E1
1.015465740E-1,8.470500112E-1,3.467100143E1,2.161050081E0,3.474861107E1
1.035087490E-1,-1.480500102E-1,3.766095352E1,2.008050203E0,3.771473988E1
1.054711130E-1,-1.452000022E0,4.107195282E1,1.165050030E0,4.111412110E1
